trial,channel,std_uv,peak_to_peak_uv,global_correlation,neighbor_correlation,flags,flagged
1,E1,16.25922137025583,147.1350891011491,0.09981317587068608,0.654206133525906,,False
1,E2,29.148082971660084,506.99793635984236,-0.01909752115264074,0.7287182579080703,,False
1,E3,19.663143397059578,222.8326964270403,-0.0023251658599341084,0.8754327392985324,,False
1,E4,14.122921585585548,150.85153699450095,0.028925634041476467,0.9548299740555573,,False
1,E5,9.739445506432507,100.28140245279431,0.020641911533231996,0.7904436801455756,,False
1,E6,4.83600883854362,47.84723707375478,-0.03643973163977205,0.6664072181353786,,False
1,E7,3.2338966598902426,33.96120027219649,-0.03081209353950631,0.32937471597883916,neighbor_correlation,True
1,E8,60.71879665097143,662.6106884677529,-0.09461302065946423,0.8815315745584237,variance,True
1,E9,31.998962284852112,358.27312797819275,-0.028726415163994035,0.9528973158844035,,False
1,E10,21.01657359621185,242.712851846874,-0.03563466952853324,0.9634757075503393,,False
1,E11,19.9267606883169,185.52755086045232,-0.03121838842845099,0.9538035318638888,,False
1,E12,7.71967072377716,82.1281988997804,0.013029340080791258,0.8006560140204815,,False
1,E13,5.446225664525754,55.05249855090844,0.061014476962364055,0.7636044500326473,,False
1,E14,41.381111081774755,428.47814934810873,-0.06718859260922441,0.9619673231466745,,False
1,E15,27.43664131299453,258.5481489806387,-0.05406147059453099,0.9740413661577552,,False
1,E16,23.907646622191987,226.86433189715126,-0.04132226040339969,0.9662805923556704,,False
1,E17,35.85751069412991,324.70458663390525,-0.057839570444361194,0.9673898577172657,,False
1,E18,18.827695694968803,188.6568451507224,-0.06296160910767236,0.9564285628888617,,False
1,E19,11.66894437928583,136.6644373988151,-0.04932009030443503,0.8937901251492854,,False
1,E20,7.882958269260751,83.8233696101785,0.0430496384170007,0.8482802836999472,,False
1,E21,39.6035096710612,382.10306796754617,-0.07172135581708837,0.9665982815299323,,False
1,E22,28.921281507205354,326.1178895315861,-0.03794626878434345,0.9525742198931092,,False
1,E23,15.706112717428946,183.25970141825053,-0.019983743490678205,0.8882558471462159,,False
1,E24,10.148861318370324,134.7822003203781,0.13780398243389888,0.8253111700521518,,False
1,E25,69.49453938151267,740.4583937258575,-0.08644457738516313,0.9161764890218376,variance,True
1,E26,27.40771706112158,460.9466836403411,-0.02256017042968711,0.7924870033780367,,False
1,E27,13.558737813777274,258.90126928373627,0.04733754360096263,0.6762878773760834,,False
1,E28,9.841956848260294,103.17184402476613,0.07280992660181837,0.7520103502182822,,False
1,E29,6.870964972347615,61.81315520175569,0.1262870285032111,0.7907509899296516,,False
