subject,trial,stimulus,status,issues,samples,duration_seconds,channels,max_abs_uv,extreme_over_200uv_fraction,flat_channels,variance_outlier_channels,residual_50hz_ratio,max_abs_ecg_correlation,interpolated_channels,ica_removed,output_path
sub-mit076,1,neutral_1.mp4,reject,extreme_amplitude;amplitude_warning,15124,60.496,128,1134.504670997643,0.0015507223618090452,0,5,3.4672080728436967,0.0558153653902792,,,data/processed/sub-mit076/trials/sub-mit076_trial-01_eeg.fif
sub-mit076,2,17.mp4,reject,extreme_amplitude;amplitude_warning,15124,60.496,128,1610.391393118248,0.001797639513356255,0,5,2.996398816084414,0.056803862733336964,,,data/processed/sub-mit076/trials/sub-mit076_trial-02_eeg.fif
sub-mit076,3,23.mp4,review,amplitude_warning,15129,60.516,128,771.1248316612132,0.0008468834688346884,0,5,1.176411994333598,0.07927783850128318,,,data/processed/sub-mit076/trials/sub-mit076_trial-03_eeg.fif
sub-mit076,4,1.mp4,pass,,15125,60.5,128,388.22748053755447,0.00017820247933884298,0,1,1.1629460723520815,0.10208005334454198,,,data/processed/sub-mit076/trials/sub-mit076_trial-04_eeg.fif
sub-mit076,5,8.m4v,reject,extreme_amplitude;variance_outliers;amplitude_warning,15129,60.516,128,2540.7050262444814,0.0032646324938859143,0,6,2.539753517328886,0.1088606079400423,,,data/processed/sub-mit076/trials/sub-mit076_trial-05_eeg.fif
sub-mit076,6,neutral_2.mp4,reject,extreme_amplitude;amplitude_warning,15125,60.5,128,1326.5102917452803,0.0013057851239669422,0,5,1.68542098337032,0.10952078811849102,,,data/processed/sub-mit076/trials/sub-mit076_trial-06_eeg.fif
sub-mit076,7,3.mp4,reject,extreme_amplitude;variance_outliers;amplitude_warning,15124,60.496,128,1107.6181257243884,0.004612391728378736,0,11,0.778825949158521,0.03897262257264715,,,data/processed/sub-mit076/trials/sub-mit076_trial-07_eeg.fif
sub-mit076,8,4.mp4,pass,,15125,60.5,128,450.371829292865,0.00029958677685950415,0,2,0.6927192386877077,0.12238214477651999,,,data/processed/sub-mit076/trials/sub-mit076_trial-08_eeg.fif
sub-mit076,9,28.mp4,review,amplitude_warning,15125,60.5,128,557.7375567779746,0.0008884297520661157,0,5,1.2180881806422368,0.10285350885681843,,,data/processed/sub-mit076/trials/sub-mit076_trial-09_eeg.fif
sub-mit076,10,6.mp4,pass,,15124,60.496,128,388.2456156984206,0.0001647836220576567,0,4,1.0265262437707527,0.10347313000652993,,,data/processed/sub-mit076/trials/sub-mit076_trial-10_eeg.fif
