subject,trial,window_index,start_seconds,end_seconds,samples,status,issues,max_abs_uv,max_peak_to_peak_uv,over_200uv_fraction,flat_channels,variance_outlier_channels,source_path
sub-mit076,1,1,0.0,4.0,1000,reject,extreme_amplitude;amplitude_warning,1021.9391453690704,1520.1423606639626,0.006421875,0,5,data/processed/sub-mit076/trials/sub-mit076_trial-01_eeg.fif
sub-mit076,1,2,2.0,6.0,1000,review,amplitude_warning,498.2032152948922,542.0359216356412,0.0028671875,0,3,data/processed/sub-mit076/trials/sub-mit076_trial-01_eeg.fif
sub-mit076,1,3,4.0,8.0,1000,pass,,64.04075606389857,104.28886005774086,0.0,0,0,data/processed/sub-mit076/trials/sub-mit076_trial-01_eeg.fif
sub-mit076,1,4,6.0,10.0,1000,pass,,313.1345817289424,375.00658322067983,0.000265625,0,3,data/processed/sub-mit076/trials/sub-mit076_trial-01_eeg.fif
sub-mit076,1,5,8.0,12.0,1000,pass,,313.1345817289424,356.15060716355026,0.000265625,0,4,data/processed/sub-mit076/trials/sub-mit076_trial-01_eeg.fif
sub-mit076,1,6,10.0,14.0,1000,pass,,51.51265322077313,101.32508824515531,0.0,0,1,data/processed/sub-mit076/trials/sub-mit076_trial-01_eeg.fif
sub-mit076,1,7,12.0,16.0,1000,pass,,344.5137015227646,390.8483419087106,0.000328125,0,2,data/processed/sub-mit076/trials/sub-mit076_trial-01_eeg.fif
sub-mit076,1,8,14.0,18.0,1000,pass,,354.4305410973364,400.7651814832824,0.0005625,0,4,data/processed/sub-mit076/trials/sub-mit076_trial-01_eeg.fif
sub-mit076,1,9,16.0,20.0,1000,review,variance_outliers,359.5429373246632,463.24462773666977,0.0006015625,0,7,data/processed/sub-mit076/trials/sub-mit076_trial-01_eeg.fif
sub-mit076,1,10,18.0,22.0,1000,review,amplitude_warning,373.7882680992441,477.4899585112506,0.00103125,0,5,data/processed/sub-mit076/trials/sub-mit076_trial-01_eeg.fif
sub-mit076,1,11,20.0,24.0,1000,review,amplitude_warning,373.7882680992441,471.87022280766564,0.0011328125,0,5,data/processed/sub-mit076/trials/sub-mit076_trial-01_eeg.fif
sub-mit076,1,12,22.0,26.0,1000,pass,,364.758421930636,454.610853954757,0.00046875,0,5,data/processed/sub-mit076/trials/sub-mit076_trial-01_eeg.fif
sub-mit076,1,13,24.0,28.0,1000,review,variance_outliers;amplitude_warning,512.5215441161638,602.8017791787554,0.0008125,0,7,data/processed/sub-mit076/trials/sub-mit076_trial-01_eeg.fif
sub-mit076,1,14,26.0,30.0,1000,review,variance_outliers;amplitude_warning,512.5215441161638,597.9615234536712,0.0008203125,0,7,data/processed/sub-mit076/trials/sub-mit076_trial-01_eeg.fif
sub-mit076,1,15,28.0,32.0,1000,review,variance_outliers,477.1436145179844,562.5835938554918,0.0007265625,0,7,data/processed/sub-mit076/trials/sub-mit076_trial-01_eeg.fif
sub-mit076,1,16,30.0,34.0,1000,review,variance_outliers,477.1436145179844,546.2143083133242,0.000890625,0,10,data/processed/sub-mit076/trials/sub-mit076_trial-01_eeg.fif
sub-mit076,1,17,32.0,36.0,1000,review,variance_outliers,352.33724886629335,419.8572987446497,0.000171875,0,10,data/processed/sub-mit076/trials/sub-mit076_trial-01_eeg.fif
sub-mit076,1,18,34.0,38.0,1000,pass,,63.22118743193458,125.76399199204675,0.0,0,5,data/processed/sub-mit076/trials/sub-mit076_trial-01_eeg.fif
sub-mit076,1,19,36.0,40.0,1000,pass,,443.8865650414035,516.8051592176533,0.0009765625,0,5,data/processed/sub-mit076/trials/sub-mit076_trial-01_eeg.fif
sub-mit076,1,20,38.0,42.0,1000,review,variance_outliers;amplitude_warning,443.8865650414035,516.8051592176533,0.001640625,0,7,data/processed/sub-mit076/trials/sub-mit076_trial-01_eeg.fif
sub-mit076,1,21,40.0,44.0,1000,review,amplitude_warning,466.201689496782,753.411344533366,0.0021953125,0,3,data/processed/sub-mit076/trials/sub-mit076_trial-01_eeg.fif
sub-mit076,1,22,42.0,46.0,1000,review,amplitude_warning,466.201689496782,831.5816019043646,0.0027890625,0,4,data/processed/sub-mit076/trials/sub-mit076_trial-01_eeg.fif
sub-mit076,1,23,44.0,48.0,1000,review,amplitude_warning,461.94259526925396,588.9286331566528,0.0012578125,0,3,data/processed/sub-mit076/trials/sub-mit076_trial-01_eeg.fif
sub-mit076,1,24,46.0,50.0,1000,pass,,68.67686445063103,106.44354221172465,0.0,0,1,data/processed/sub-mit076/trials/sub-mit076_trial-01_eeg.fif
sub-mit076,1,25,48.0,52.0,1000,pass,,54.830112318842666,92.33194327884715,0.0,0,0,data/processed/sub-mit076/trials/sub-mit076_trial-01_eeg.fif
sub-mit076,1,26,50.0,54.0,1000,review,amplitude_warning,583.6807846591602,717.0659771934887,0.00103125,0,4,data/processed/sub-mit076/trials/sub-mit076_trial-01_eeg.fif
sub-mit076,1,27,52.0,56.0,1000,review,variance_outliers;amplitude_warning,849.4490945350346,907.5242057775693,0.0034296875,0,9,data/processed/sub-mit076/trials/sub-mit076_trial-01_eeg.fif
sub-mit076,1,28,54.0,58.0,1000,reject,extreme_amplitude;variance_outliers;amplitude_warning,1134.504635807526,2112.1566719134107,0.005421875,0,10,data/processed/sub-mit076/trials/sub-mit076_trial-01_eeg.fif
sub-mit076,1,29,56.0,60.0,1000,reject,extreme_amplitude;amplitude_warning,1134.504635807526,2112.1566719134107,0.0047890625,0,3,data/processed/sub-mit076/trials/sub-mit076_trial-01_eeg.fif
sub-mit076,2,1,0.0,4.0,1000,reject,extreme_amplitude;amplitude_warning,1610.3913533560276,1766.9677689763353,0.0019921875,0,1,data/processed/sub-mit076/trials/sub-mit076_trial-02_eeg.fif
sub-mit076,2,2,2.0,6.0,1000,pass,,340.394255732384,383.24251459637054,0.0002421875,0,0,data/processed/sub-mit076/trials/sub-mit076_trial-02_eeg.fif
sub-mit076,2,3,4.0,8.0,1000,pass,,340.394255732384,383.24251459637054,0.0002421875,0,2,data/processed/sub-mit076/trials/sub-mit076_trial-02_eeg.fif
sub-mit076,2,4,6.0,10.0,1000,review,amplitude_warning,559.8914780785974,621.1171172672792,0.000546875,0,1,data/processed/sub-mit076/trials/sub-mit076_trial-02_eeg.fif
sub-mit076,2,5,8.0,12.0,1000,review,variance_outliers;amplitude_warning,559.8914780785974,653.5491392801229,0.00146875,0,9,data/processed/sub-mit076/trials/sub-mit076_trial-02_eeg.fif
sub-mit076,2,6,10.0,14.0,1000,reject,extreme_amplitude;variance_outliers;amplitude_warning,614.572203038198,893.6610390034884,0.0145234375,0,13,data/processed/sub-mit076/trials/sub-mit076_trial-02_eeg.fif
sub-mit076,2,7,12.0,16.0,1000,reject,extreme_amplitude;variance_outliers;amplitude_warning,614.572203038198,893.6610390034884,0.0166328125,0,23,data/processed/sub-mit076/trials/sub-mit076_trial-02_eeg.fif
sub-mit076,2,8,14.0,18.0,1000,review,variance_outliers;amplitude_warning,521.3145128439636,593.2427200598232,0.00409375,0,11,data/processed/sub-mit076/trials/sub-mit076_trial-02_eeg.fif
sub-mit076,2,9,16.0,20.0,1000,review,amplitude_warning,521.3145128439636,587.7317032280341,0.001625,0,0,data/processed/sub-mit076/trials/sub-mit076_trial-02_eeg.fif
sub-mit076,2,10,18.0,22.0,1000,pass,,422.26714981278417,470.1238849214497,0.0005625,0,2,data/processed/sub-mit076/trials/sub-mit076_trial-02_eeg.fif
sub-mit076,2,11,20.0,24.0,1000,pass,,456.6813953313653,511.912954945337,0.0006328125,0,2,data/processed/sub-mit076/trials/sub-mit076_trial-02_eeg.fif
sub-mit076,2,12,22.0,26.0,1000,review,amplitude_warning,516.7487779922097,592.03812258972,0.0013203125,0,2,data/processed/sub-mit076/trials/sub-mit076_trial-02_eeg.fif
sub-mit076,2,13,24.0,28.0,1000,review,amplitude_warning,516.7487779922097,592.03812258972,0.0006875,0,2,data/processed/sub-mit076/trials/sub-mit076_trial-02_eeg.fif
sub-mit076,2,14,26.0,30.0,1000,pass,,91.7008512089073,183.29273177599987,0.0,0,1,data/processed/sub-mit076/trials/sub-mit076_trial-02_eeg.fif
sub-mit076,2,15,28.0,32.0,1000,pass,,91.86304450683764,181.31843521116025,0.0,0,2,data/processed/sub-mit076/trials/sub-mit076_trial-02_eeg.fif
sub-mit076,2,16,30.0,34.0,1000,pass,,497.95437496348916,563.6022248343654,0.0008359375,0,2,data/processed/sub-mit076/trials/sub-mit076_trial-02_eeg.fif
sub-mit076,2,17,32.0,36.0,1000,review,amplitude_warning,533.2082506069036,598.8561004777798,0.0017734375,0,3,data/processed/sub-mit076/trials/sub-mit076_trial-02_eeg.fif
sub-mit076,2,18,34.0,38.0,1000,review,amplitude_warning,533.2082506069036,586.485636184061,0.001515625,0,2,data/processed/sub-mit076/trials/sub-mit076_trial-02_eeg.fif
sub-mit076,2,19,36.0,40.0,1000,review,amplitude_warning,414.07827654244346,464.42204930352125,0.0011171875,0,5,data/processed/sub-mit076/trials/sub-mit076_trial-02_eeg.fif
sub-mit076,2,20,38.0,42.0,1000,pass,,371.74490262588745,431.62442670566327,0.0005390625,0,2,data/processed/sub-mit076/trials/sub-mit076_trial-02_eeg.fif
sub-mit076,2,21,40.0,44.0,1000,review,amplitude_warning,587.9523300585319,648.5303786116417,0.001015625,0,2,data/processed/sub-mit076/trials/sub-mit076_trial-02_eeg.fif
