component,ecg_correlation,emg_correlation,emg2_correlation,low_frequency_fraction,high_frequency_fraction,kurtosis,proposed_artifact,reasons
0,-0.011378641167197534,-0.0011092006514834525,-0.003496557278243579,0.7416842265674283,0.0014757655817226234,7.719648953633556,False,
1,0.013272939397086918,-0.001366186327807966,-0.00104180587297314,0.9365723386128854,0.008092921699674984,245.61768587110524,False,
2,0.0006153516019207759,1.7129465316739697e-05,0.0015354159561078043,0.9015165619483854,0.011523332395070446,454.5078019912208,False,
3,0.015331169977062119,-0.00039834020620889524,0.0003289631442238367,0.8758143951010064,0.0054859062324757474,608.2642950942476,False,
4,0.01677010874762772,-0.0018298737211911583,0.0006670437645576611,0.7472926018925543,0.02757307627032245,9.875307075158691,False,
5,-0.00697444916660284,-0.0011510201937525316,-5.024300085256592e-05,0.9117925837154481,0.028909864589107288,759.9055668931882,False,
6,0.05124084760424125,0.017421644318256466,-0.12897375338152023,0.07730915647263736,0.717957652694928,8.558448347156386,False,
7,0.03740107438117433,0.012092775400754978,0.009228110947758389,0.4190802236103397,0.054959600081470814,0.9540910962721667,False,
8,-0.02791567139500811,-0.008317933926068808,-0.009695932628887627,0.4628160644294709,0.08834116994739265,1.008860742123633,False,
9,0.02125854862312598,0.0007265175782639311,0.001863740791042465,0.6300754277250276,0.20949848092361342,212.9745675896654,False,
10,0.012040143596454661,0.0018671550965946853,-0.0024899758557939454,0.8731910690263278,0.008930049434911609,37.3653793521016,False,
11,-0.008567448731636788,-0.000756977458149392,-0.001998098283748398,0.8643199125650519,0.02654457884351011,139.04037264475554,False,
12,0.016221511237811556,-0.001185647032049613,-0.000412270486833841,0.7023578939205296,0.11739309529952727,427.41476906711443,False,
13,0.01793691509985291,-0.0020249377585121924,-0.0012298322743441467,0.7694906967010494,0.05487769348246189,443.3834848334306,False,
14,-0.0392575222675841,0.0015591213462376496,-0.0015348288460517983,0.6519152957776584,0.10436753660184302,158.94556738041067,False,
15,-0.00583022701331184,0.0007090931225059265,0.0053926291156538705,0.6040793340705509,0.1322406739422808,47.490220773605884,False,
16,-0.09050343765539808,-0.006077552729009808,-0.004836289493480961,0.3308245377904077,0.0685455874622076,0.6960162194894024,False,
17,0.05176226985161127,-0.001714686474801071,0.006659222714203576,0.8404596631203626,0.04317779878936605,47.84528905667427,False,
18,-0.43338859343948977,0.0060765532782647395,-0.0032910476293100044,0.4949897150185884,0.07778859949715942,9.32983324173549,True,ecg_correlation
19,0.041115257606959686,-0.0009188231599078669,0.004032302518307341,0.8257479976391167,0.022821723969042192,30.631325749502412,False,
20,-0.0709542845557618,-0.009223009229681924,-0.015669860760194283,0.6103453701429122,0.09984746330388658,14.69040993567376,False,
21,-0.09251116142345968,0.011564687673695373,0.014009603937504975,0.7778669047427784,0.06096334229127273,49.1717348583618,False,
22,0.06590288153770807,-0.001048386898637155,-0.0019023966168944671,0.7611555300963913,0.06866259817379451,43.19677510982257,False,
23,-0.023764487083435436,0.016244427971129908,0.014162723859305544,0.8867868887577031,0.02524975957843148,38.55876672126353,False,
24,-0.030306388289903036,0.03754675343101349,0.03757388788648701,0.6830813540818547,0.07740434298067216,70.64208274125293,False,
25,-0.012584591590926314,0.022399325416918497,0.023477850010371875,0.4364365987708846,0.13789658986610692,9.987025825374722,False,
