trial,strategy,components,max_aux_correlation,relative_rms_change,delta_retention,theta_retention,alpha_retention,beta_retention,gamma_retention
1,no_removal,,0.22244195508634318,2.138252910042769e-15,1.000000000000004,1.0000000000000036,1.0000000000000009,1.0000000000000007,0.9999999999999977
1,physiological_only,18,0.1890369847861873,0.046607652716845166,1.003858168295486,1.0069788971948055,0.9971015834466448,0.8477018241330097,0.862780236969707
1,all_candidates,18,0.1890369847861873,0.046607652716845166,1.003858168295486,1.0069788971948055,0.9971015834466448,0.8477018241330097,0.862780236969707
2,no_removal,,0.20146560480749467,2.531582404428281e-15,1.0000000000000024,1.0000000000000033,0.9999999999999978,0.999999999999999,0.9999999999999992
2,physiological_only,18,0.1801629910443289,0.03454458593030107,1.0042029187323573,0.9958855490837542,0.9825266703955579,0.8831077540033935,0.8910279953669559
2,all_candidates,18,0.1801629910443289,0.03454458593030107,1.0042029187323573,0.9958855490837542,0.9825266703955579,0.8831077540033935,0.8910279953669559
3,no_removal,,0.190736556858287,2.490434667184815e-15,1.0000000000000018,1.0000000000000024,1.0000000000000013,0.9999999999999986,1.0
3,physiological_only,18,0.12823689171360506,0.05174878968339509,0.9927304813690936,0.9914464041817442,0.9949386415225254,0.8791206164729416,0.8581189936295207
3,all_candidates,18,0.12823689171360506,0.05174878968339509,0.9927304813690936,0.9914464041817442,0.9949386415225254,0.8791206164729416,0.8581189936295207
4,no_removal,,0.1659907043696564,2.341329701014984e-15,1.0000000000000027,1.0,1.0000000000000009,0.9999999999999993,1.0000000000000016
4,physiological_only,18,0.11295757042254377,0.1036274598057784,1.0071779019812597,0.9960507506240963,0.9752961585636764,0.8631187123960359,0.9495659493672006
4,all_candidates,18,0.11295757042254377,0.1036274598057784,1.0071779019812597,0.9960507506240963,0.9752961585636764,0.8631187123960359,0.9495659493672006
5,no_removal,,0.14779649973486234,2.2043603230117314e-15,1.0000000000000027,1.000000000000004,1.0000000000000013,0.9999999999999997,0.9999999999999997
5,physiological_only,18,0.0896001626767576,0.0706976793595255,1.0016422255865303,1.0045392652460992,0.9944097170186973,0.9226591020164986,0.9275859652827737
5,all_candidates,18,0.0896001626767576,0.0706976793595255,1.0016422255865303,1.0045392652460992,0.9944097170186973,0.9226591020164986,0.9275859652827737
6,no_removal,,0.13473423975458887,5.8182062650964e-15,1.000000000000002,1.0000000000000036,1.0000000000000007,0.9999999999999984,0.9999999999999992
6,physiological_only,18,0.10202038024987822,0.038088256446082464,1.0050355466934902,0.9925959313990647,0.9867818213168156,0.9003224575629591,0.9147556293099234
6,all_candidates,18,0.10202038024987822,0.038088256446082464,1.0050355466934902,0.9925959313990647,0.9867818213168156,0.9003224575629591,0.9147556293099234
7,no_removal,,0.16555019084889072,2.373602646557258e-15,1.0000000000000018,1.0000000000000004,1.0,0.9999999999999997,0.9999999999999999
7,physiological_only,18,0.07089414743198855,0.08697772670397785,0.9578672627964028,1.0015035575035474,0.9935480820747612,0.9046527959248734,0.9069235230599694
7,all_candidates,18,0.07089414743198855,0.08697772670397785,0.9578672627964028,1.0015035575035474,0.9935480820747612,0.9046527959248734,0.9069235230599694
8,no_removal,,0.1645640437401507,2.310346938529359e-15,1.0000000000000027,1.0000000000000004,1.000000000000001,0.9999999999999999,1.0000000000000002
8,physiological_only,18,0.12815882410873863,0.05549264173788897,0.9960942390151462,1.0004485694955034,0.9833563524663215,0.9187922976440711,0.9444275434519038
8,all_candidates,18,0.12815882410873863,0.05549264173788897,0.9960942390151462,1.0004485694955034,0.9833563524663215,0.9187922976440711,0.9444275434519038
9,no_removal,,0.14310202122630686,3.338639302138544e-15,1.0000000000000027,1.0000000000000038,1.0000000000000016,0.9999999999999991,1.0000000000000016
9,physiological_only,18,0.08025962919333834,0.05386515657860495,0.9923171293411879,0.9943204131406488,0.988590915845655,0.9386127078101643,0.9163660417349265
9,all_candidates,18,0.08025962919333834,0.05386515657860495,0.9923171293411879,0.9943204131406488,0.988590915845655,0.9386127078101643,0.9163660417349265
10,no_removal,,0.1995195292060868,1.9769028768315107e-15,1.0000000000000038,1.000000000000001,0.9999999999999996,1.0000000000000007,1.0000000000000002
10,physiological_only,18,0.18740245724387014,0.07439865231264073,0.9973727983959557,0.9954111120813356,0.9866576454898375,0.9402627787246782,0.9286291942273531
10,all_candidates,18,0.18740245724387014,0.07439865231264073,0.9973727983959557,0.9954111120813356,0.9866576454898375,0.9402627787246782,0.9286291942273531
11,no_removal,,0.15154621365217893,2.7991062496881437e-15,1.0000000000000027,1.0000000000000024,1.000000000000001,0.9999999999999997,1.000000000000001
11,physiological_only,18,0.13676208855703426,0.08586035531752247,0.997231137471183,0.9979569777291525,0.9948988243667777,0.9383960267391257,0.8999602047173371
11,all_candidates,18,0.13676208855703426,0.08586035531752247,0.997231137471183,0.9979569777291525,0.9948988243667777,0.9383960267391257,0.8999602047173371
