strategy,components,median_max_aux_correlation,median_relative_rms_change,median_delta_retention,median_theta_retention,median_alpha_retention,median_beta_retention,median_gamma_retention
no_removal,,0.16555019084889072,2.373602646557258e-15,1.0000000000000027,1.0000000000000024,1.0000000000000009,0.9999999999999997,1.0
physiological_only,18,0.12815882410873863,0.05549264173788897,0.9973727983959557,0.9960507506240963,0.988590915845655,0.9046527959248734,0.9147556293099234
all_candidates,18,0.12815882410873863,0.05549264173788897,0.9973727983959557,0.9960507506240963,0.988590915845655,0.9046527959248734,0.9147556293099234
