trial,channel,std_uv,peak_to_peak_uv,global_correlation,neighbor_correlation,flags,flagged
1,E1,17.430744740607263,165.69613330454374,0.08524960401903475,0.5344150929475121,neighbor_correlation,True
1,E2,26.447324093756603,348.70642345268806,-0.15092293655529201,0.8311789255900405,,False
1,E3,26.397420485325668,255.165567998605,-0.24927168050129184,0.9628649908935698,,False
1,E4,18.677345355614076,148.7552488656582,-0.21448766182440632,0.977844634289718,,False
1,E5,15.301261989477611,119.3754322577783,-0.19979227734606728,0.9745749379563529,,False
1,E6,9.558886583820808,77.5760232876953,-0.2121707686325581,0.930930361584158,,False
1,E7,6.211306256584729,49.974062634479566,-0.22053208594458182,0.8262140151354896,,False
1,E8,74.15671118777999,599.5616491292087,-0.2877013983117029,0.9561077347462412,,False
1,E9,53.15632365107971,555.9212147488868,-0.27627264363330717,0.9571707165068286,,False
1,E10,29.38731828505081,208.90198566645944,-0.24228018591622683,0.987278558727487,,False
1,E11,32.060230526419254,220.54490867321886,-0.26663256140496117,0.9913921604626266,,False
1,E12,18.65157805529886,139.04305979591194,-0.23892470220713943,0.9733921404612017,,False
1,E13,11.292092877914124,83.26567101106414,-0.22020970143071905,0.9597707873180588,,False
1,E14,67.88544184689435,490.1982570550887,-0.280025987887084,0.9808427389692966,,False
1,E15,54.83494672989685,380.6212944576762,-0.28178957556683987,0.9911903495507894,,False
1,E16,42.70863869784957,293.81878552539,-0.27434833447061757,0.9896669242757845,,False
1,E17,72.9822650902336,515.8918374568516,-0.2955863529089811,0.9821708280982546,,False
1,E18,34.168335372857605,250.26088672793668,-0.2675763629384968,0.9911711831513629,,False
1,E19,28.181352343173874,202.14190701513706,-0.2813837836711769,0.9875673292146616,,False
1,E20,12.748373181670651,93.64285164388956,-0.18961547758389558,0.9876279485286482,,False
1,E21,68.92023505700696,475.652614983295,-0.29166576540711053,0.9828950885576998,,False
1,E22,43.211607192259955,321.5173829979494,-0.27682173838686414,0.9818552223252015,,False
1,E23,26.805362499058237,181.0879072913791,-0.27070712361044075,0.9764919075931322,,False
1,E24,13.948546858859318,96.73343979473327,-0.19017722430123038,0.9780521698675402,,False
1,E25,88.41749963127782,786.6539209834202,-0.2519546520529067,0.9167851214348037,,False
1,E26,23.846709814875723,216.15022057780578,-0.1852867473832307,0.9498958943065088,,False
1,E27,15.165693208059373,113.92798550309355,-0.12926369717886171,0.9624786232440634,,False
1,E28,13.134145490114598,100.0363471073417,-0.133485716365977,0.9852010613594135,,False
1,E29,12.017494640635944,92.19653046231556,-0.1227187015025425,0.9782369069418679,,False
1,E30,10.028777545454183,76.65381542002027,-0.09156780853754716,0.7971493573634337,,False
1,E31,8.599876740940008,95.37089365978295,-0.12200560458415417,-0.17749183782269892,neighbor_correlation,True
1,E32,21.22543754327462,193.67503107933544,0.01834435563297494,0.5562512171817886,neighbor_correlation,True
1,E33,11.40180887377225,99.64619949046073,0.15803344170428713,0.6484555974244121,neighbor_correlation,True
1,E34,7.758438777281132,63.86361051535576,0.215468036778291,0.7895187720459106,,False
1,E35,6.67617372403852,54.30773362916693,0.23055888942427513,0.8516351170276351,,False
1,E36,6.0656740197705785,49.80002674130469,0.30639296910358366,0.7559404126770936,,False
1,E37,4.048405583129216,34.70157768621444,0.22701266373045226,0.7150220990259004,,False
1,E38,13.35397340527913,125.10649046555659,0.3290587417075444,0.7371587224077115,,False
1,E39,7.500705223453462,60.01853791284725,0.39984437949620694,0.8010174903063104,,False
1,E40,6.737129029869151,55.14797466985851,0.2902173903255069,0.8859248593961351,,False
1,E41,5.2823807857235705,41.58908603841269,0.24492605569729384,0.8748706358925333,,False
1,E42,5.218248595857493,42.10664942002049,0.2576704378276623,0.7827565772724449,,False
1,E43,14.266680852395595,113.44790917663465,0.502690101953709,0.8357598482990884,,False
1,E44,14.505926969723133,163.0482296551537,0.42348740951915537,0.795638589508201,,False
1,E45,7.6159236663005485,63.319382727893924,0.45703484735059635,0.9373572359112146,,False
1,E46,6.556653837805545,53.66962244355206,0.4271283867394737,0.9237655264435449,,False
1,E47,5.681674630921436,47.109492087933084,0.42582304486944644,0.8749399200723295,,False
1,E48,19.909435845778376,286.96306453656473,0.43191953863285526,0.7878669387823445,,False
