component,ecg_correlation,emg_correlation,emg2_correlation,low_frequency_fraction,high_frequency_fraction,kurtosis,proposed_artifact,reasons
0,0.0028494893198802956,-0.0009713872272477644,0.0008473622718995049,0.7379578446148887,0.016239552608404564,53.18236811173509,False,
1,-0.005074917710224231,-0.001826065368955948,-0.0009242887029117774,0.8259778839191606,0.017713308651098734,23.13660855254901,False,
2,-0.012708411807500765,-0.004163149812142453,-0.002763368463026348,0.6286457909860459,0.08137799886553516,61.497305638784326,False,
3,0.0005479085725428298,0.0004682515227706756,-0.0006240632279881835,0.7379639147198314,0.02223995035254349,5.648686755585773,False,
4,0.022530180766912593,0.009488487776361756,0.004075299923470154,0.5577017125196652,0.06744902191242114,29.153919281282793,False,
5,0.00385832081109702,-0.00451485880052336,-0.001288801585208508,0.6164678232392997,0.06276941289403562,52.589575413450575,False,
6,0.0005213407578019156,0.0013752827503586474,-0.00035862991026257475,0.35531013477909784,0.05121008388463609,0.5136211958991148,False,
7,-0.007145501610041428,-0.00866135812436331,0.0033084027888381816,0.5228949328167232,0.0791646706903756,22.604918728598957,False,
8,0.005269992520577192,0.006590805987831036,0.0030530491515814843,0.3495676421142548,0.05133035481391639,1.1244978773583947,False,
9,0.007026320211380069,0.005282869709617048,0.0005609968069977933,0.689892827306501,0.05311094697849763,821.4048531142142,False,
10,-0.0037304522935132133,-0.0014934375547481001,5.137326629593652e-06,0.20274004634830167,0.03676150265076093,0.6215742130472313,False,
11,0.008097241056235993,0.004526351245983066,-0.00011737067753270809,0.6482256141683016,0.06338440038114954,1136.4297691045385,False,
12,0.012385098924428411,0.0055236971115934334,0.0015096157440508142,0.3552292649737769,0.05526113351775307,0.30081931285187347,False,
13,-0.004307689022661557,-0.004743228778451705,-0.0011703042691107524,0.6675507946135988,0.06826473702266861,27.817548539081436,False,
14,-0.0131046927779862,-0.009795869087374731,-0.002393472092182682,0.3224112066041146,0.05525539350346859,0.4252661981995782,False,
15,-0.0003941151777875118,0.002316152770413769,-0.002384697730565602,0.22117552825285602,0.04416940677087709,0.5253126303746303,False,
16,0.0010949100173972164,-0.0006302853356832677,-0.0025445547956367493,0.647209930301926,0.056495950406305145,3.7127736353114047,False,
17,0.005595408319374118,0.0041334573151079815,0.0012017912092644857,0.21206051347889032,0.04386884791235373,0.7715935353938637,False,
18,0.012095857096743101,0.009583549188822735,0.006212971113371956,0.44721566082244163,0.06629524477812213,0.9475215833410684,False,
19,-0.004190380293003008,-0.004987978215866022,-0.00018093790470194936,0.5706286243217473,0.0883581682887488,50.485090249023585,False,
20,-0.007221545721222053,0.001868272244267231,-0.0003872691148354099,0.8210205937259254,0.03846315177079662,29.05109979037299,False,
21,0.0005486968435313732,0.0038121630474355415,0.0056872711550926104,0.33101506084751725,0.0403374130823453,1.0726046220197647,False,
22,-0.0011658090029920724,0.000274728408828018,-0.002223559997801682,0.22323085386224586,0.06191148487172341,0.8017570676293269,False,
23,-0.0024052952247825723,-0.0030892909046527604,0.0012791635494003055,0.3714739880940258,0.04132157152210725,2.8918990656222903,False,
24,-0.08204117780165385,-0.009442616686283125,-0.006542634558306397,0.28651186138071344,0.07217232088730166,3.068969948883054,False,
25,-0.0020674925639649335,-0.00021145549888292015,-0.00027112236520648273,0.14405496700425846,0.0520611191333378,1.0601313326272983,False,
26,0.0060184037813754065,0.0017575178924854357,-0.0011973449055377096,0.6277701605543282,0.07185547384862098,70.7839556115277,False,
27,0.0037712798677593026,-0.008045787025109505,0.0005019966363396571,0.47741137993641947,0.14235715168769006,3.678624064272384,False,
28,-0.003869392564012786,-0.0009848487337693575,-0.0025634206894627597,0.7115678573638109,0.06009557355739519,42.942535405977694,False,
29,-2.333199961259441e-05,0.006615817690183274,0.003766914544433781,0.5264565979965827,0.10205742536007573,41.99581210858871,False,
30,-0.002558218331139744,-0.003513863571572189,-0.0004696266406349753,0.6526114731278091,0.12646703307653967,285.80099276282033,False,
31,0.010286578265785773,0.009761009108710464,0.0069526556715901085,0.48610267976932414,0.101757499831173,40.65596392616982,False,
32,-0.002782533051783071,-0.0005968745435181647,0.010513315446429868,0.32123521539429395,0.32453217728003264,35.59269468770937,False,
33,-0.012616985169879613,-0.018331927763017515,-0.011553655620979339,0.39293161867229454,0.17358242604757956,37.01926159386183,False,
34,-0.013536681307491975,-0.014024037518827866,-0.01000399326836761,0.6649764933023796,0.054981040185721454,40.51402228688001,False,
35,-0.0007938782297970764,-0.0025964920788416946,-0.0031338096961777235,0.26373838686632156,0.10209724451422715,1.8418055897713677,False,
36,0.012841397716049165,0.012845834501840436,0.022931193041795753,0.5259894735896702,0.1467718476929417,17.763234530756698,False,
37,0.15665984152285953,0.15977271530835546,0.10618149668608917,0.28216634274118463,0.2716843980534902,4.490897134402414,False,
38,-0.005655208622342008,-0.0013429600435858901,-0.003808771709779237,0.394957920500661,0.10573133285302592,2.4020103466252145,False,
39,-0.005088365854026649,0.0010700740383839421,0.006906130315741954,0.5468058427633856,0.10281073083013106,68.28172720044486,False,
40,0.010810252664357988,0.0015566053532758788,-0.005133222249737965,0.5630208506729456,0.07604327741314662,37.37499892658697,False,
41,-0.00446126683133605,0.004313840474843772,-0.0008858439373001694,0.44892420788904613,0.10445048108570906,0.8650996871229957,False,
42,-0.0021357837406124945,-0.00584280716329283,-0.008379887888588565,0.5153185986212117,0.1744864270324363,38.01467967775257,False,
43,0.009289748120542502,0.0080995745299491,0.004432461166489898,0.33705631912643225,0.1536113934929805,1.4398638410016282,False,
44,-0.019541243450840653,-0.021323439868126976,-0.012387249707249467,0.4146489455899155,0.14222499967375077,23.400719098975507,False,
45,0.018394454558966565,0.014525349567297218,0.02082081269682724,0.40548824917042253,0.13383843250564229,7.638132263050878,False,
46,-0.0012383282459268003,-0.0020110046476124843,0.004931048292668849,0.5051635368069379,0.11846936398028891,9.9208238037868,False,
47,-0.004801703697144102,-0.006732595856397079,-0.005691068792780738,0.5384343939945314,0.0972424035320367,16.73447848062278,False,
48,-0.0014391635873059227,0.0029739790693279877,0.005872860665166001,0.4115643232465921,0.07666240386999268,6.261510663621731,False,
49,-0.00041333389137470007,-0.008905899991108052,-0.009847891616619104,0.561883134256217,0.07646143434560533,8.132995235441912,False,
50,-0.001414125081349963,-0.0006535565851138528,-0.005717702629900514,0.2932704507018502,0.27730742852204665,1.8976836481918529,False,
