subject,trial,stimulus,status,issues,samples,duration_seconds,channels,max_abs_uv,extreme_over_200uv_fraction,flat_channels,variance_outlier_channels,residual_50hz_ratio,max_abs_ecg_correlation,interpolated_channels,ica_removed,output_path
sub-mit004,1,neutral_1.mp4,review,amplitude_warning,15125,60.5,128,589.1601537918739,0.0008352272727272727,0,3,0.6552871526198775,0.0434390490321134,E1,,data/processed/sub-mit004/trials/sub-mit004_trial-01_eeg.fif
sub-mit004,2,1.mp4,review,variance_outliers;amplitude_warning,15125,60.5,128,551.4985796390065,0.0010480371900826446,0,10,0.9030777968169601,0.04189829725451333,E1,,data/processed/sub-mit004/trials/sub-mit004_trial-02_eeg.fif
sub-mit004,3,13.m4v,reject,extreme_amplitude;variance_outliers;amplitude_warning,15124,60.496,128,2253.7877244876045,0.003805003636604073,0,7,1.4382887586289939,0.03646979825048953,E1,,data/processed/sub-mit004/trials/sub-mit004_trial-03_eeg.fif
sub-mit004,4,9.m4v,review,variance_outliers;amplitude_warning,15125,60.5,128,598.9007900973648,0.0018853305785123968,0,10,0.589781164935843,0.05502146928837311,E1,,data/processed/sub-mit004/trials/sub-mit004_trial-04_eeg.fif
sub-mit004,5,5.mp4,review,variance_outliers;amplitude_warning,15124,60.496,128,630.0910688974308,0.00279822219650886,0,6,0.7557582961271858,0.0439482855615069,E1,,data/processed/sub-mit004/trials/sub-mit004_trial-05_eeg.fif
sub-mit004,6,neutral_2.mp4,reject,extreme_amplitude;variance_outliers;amplitude_warning,15125,60.5,128,2631.681357846635,0.0025898760330578512,0,9,1.1426928159801082,0.02439975221592601,E1,,data/processed/sub-mit004/trials/sub-mit004_trial-06_eeg.fif
sub-mit004,7,15.mp4,review,variance_outliers;amplitude_warning,15124,60.496,128,588.0637301404744,0.0006643001190161333,0,11,1.1409750151671663,0.046179689276051775,E1,,data/processed/sub-mit004/trials/sub-mit004_trial-07_eeg.fif
sub-mit004,8,23.mp4,review,amplitude_warning,15125,60.5,128,539.1172018562916,0.0005335743801652892,0,3,1.1635235538334059,0.04269577369524549,E1,,data/processed/sub-mit004/trials/sub-mit004_trial-08_eeg.fif
sub-mit004,9,8.m4v,review,variance_outliers,15125,60.5,128,465.08189490073215,0.0008605371900826446,0,11,1.572543405498047,0.052764603374266854,E1,,data/processed/sub-mit004/trials/sub-mit004_trial-09_eeg.fif
sub-mit004,10,4.mp4,review,variance_outliers,15125,60.5,128,488.07167395095644,0.0007913223140495868,0,10,0.8131843275100347,0.06656670449679616,E1,,data/processed/sub-mit004/trials/sub-mit004_trial-10_eeg.fif
sub-mit004,11,7.mp4,review,variance_outliers,15124,60.496,128,417.4760723934379,0.00024846684078286166,0,6,1.1112526193913381,0.06536340045473638,E1,,data/processed/sub-mit004/trials/sub-mit004_trial-11_eeg.fif
