channel,decision,flagged_trials,trial_fraction,independent_metrics,variance_trials,peak_to_peak_trials,global_correlation_trials,neighbor_correlation_trials,median_std_uv,median_peak_to_peak_uv,median_global_correlation,median_neighbor_correlation
E1,pass,0,0.0,0,0,0,0,0,16.18985367178847,154.43890992189236,0.21307666271116854,0.6864983364709711
E2,pass,0,0.0,0,0,0,0,0,23.523759533619916,320.68739630255413,-0.0034363030055669236,0.6871235466214577
E3,pass,0,0.0,0,0,0,0,0,16.52552362126445,198.8630223956517,-0.05546890994061759,0.7771684600486477
E4,pass,0,0.0,0,0,0,0,0,12.959082408026097,197.91487745586832,0.03407004940341472,0.8607473067227693
E5,pass,0,0.0,0,0,0,0,0,11.794180661623013,152.77590512014666,-0.045078028434763454,0.8492488035281678
E6,pass,0,0.0,0,0,0,0,0,8.570341760114156,119.36328798224517,0.025945439065326394,0.7726104303458685
E7,pass,1,0.09090909090909091,1,0,0,0,1,3.6535790216712747,45.591866833209444,0.036076077705973306,0.5520222836986748
E8,review,4,0.36363636363636365,3,1,2,2,0,47.53215020322747,660.0975519914791,-0.0747521288605786,0.7788398341154652
E9,pass,0,0.0,0,0,0,0,0,25.193538477485586,308.27503262020804,-0.10587074631081317,0.9466372680911801
E10,pass,0,0.0,0,0,0,0,0,16.15242518369035,202.61232086110783,-0.0717676740763239,0.933761069731357
E11,pass,0,0.0,0,0,0,0,0,15.26678350730906,190.70423190910404,-0.053917351590247055,0.8994833369907418
E12,pass,1,0.09090909090909091,1,0,0,1,0,8.369031821517611,105.54727395102185,0.009959794620970528,0.6465139569524126
E13,pass,1,0.09090909090909091,1,0,0,1,0,5.923803191561461,85.3242066513088,0.010524008600088952,0.7930630319733649
E14,review,2,0.18181818181818182,2,1,2,0,0,33.45730675521444,425.7463701233973,-0.10529644789512692,0.9260410264508097
E15,pass,0,0.0,0,0,0,0,0,23.893875714141984,294.63460435992704,-0.07430199806616415,0.9408894713361018
E16,pass,0,0.0,0,0,0,0,0,18.961473233868734,238.33400352992112,-0.061404732028296626,0.9546955505624374
E17,pass,0,0.0,0,0,0,0,0,24.32529091237619,354.7551959991238,-0.07325402482520467,0.947657342735008
E18,pass,0,0.0,0,0,0,0,0,16.57170348744798,213.90181252467085,-0.033176982929887494,0.9102815146634538
E19,pass,0,0.0,0,0,0,0,0,10.650003483351677,129.57629987259241,-0.05542086311189144,0.896448805195968
E20,pass,0,0.0,0,0,0,0,0,7.876256808769203,110.63060328416152,0.04522138955876467,0.823589006654678
E21,pass,0,0.0,0,0,0,0,0,27.95552603070593,419.36655831614786,-0.10366823316659315,0.938280059316885
E22,pass,0,0.0,0,0,0,0,0,21.177719657370364,306.94733152016533,-0.08914706556515112,0.9202062762776297
E23,pass,0,0.0,0,0,0,0,0,13.81691351775784,175.78033586262728,-0.010855671790767235,0.8264237535290924
E24,pass,0,0.0,0,0,0,0,0,9.65434549588004,134.96552334346313,0.009947720808582724,0.8301556793763457
E25,review,3,0.2727272727272727,2,1,3,0,0,40.51789424544083,629.5229792813611,-0.11273323545333924,0.8092967071861017
E26,pass,0,0.0,0,0,0,0,0,20.950250200364746,251.09094547270877,0.008044137143206202,0.6362079476335405
E27,pass,0,0.0,0,0,0,0,0,12.628161388894265,158.86648331711646,0.05568054236585361,0.6745771403896594
E28,pass,0,0.0,0,0,0,0,0,13.953957050050589,167.22924449527946,0.07213938405007865,0.7281451606361493
E29,pass,0,0.0,0,0,0,0,0,7.486915746245123,86.41304785475211,0.14175836529594596,0.7060046898690733
E30,pass,0,0.0,0,0,0,0,0,5.542161427905479,89.0652183135477,0.0741089607562498,0.687340371470241
E31,review,2,0.18181818181818182,2,0,0,1,1,4.217000188810999,51.57348034103657,0.1164674620319864,0.3297492299368029
E32,pass,0,0.0,0,0,0,0,0,18.884316386073294,199.19670402827364,0.19250992925715052,0.535041234254408
E33,pass,1,0.09090909090909091,1,0,0,0,1,14.031410132525876,192.6806272544825,0.217639499530049,0.5547661194929782
E34,pass,0,0.0,0,0,0,0,0,18.713169291991875,285.7491077487212,0.17682557416833483,0.4643886203696066
E35,review,6,0.5454545454545454,1,0,0,0,6,19.941248678444083,173.7754553689515,0.10650644656266603,0.14613955625060557
E36,review,2,0.18181818181818182,2,0,0,2,1,15.436156279898219,133.37359953026152,0.06423654421875803,0.40277085101970656
E37,pass,0,0.0,0,0,0,0,0,7.059766220620133,86.92290149701272,0.17255191393072689,0.6192109635912761
E38,pass,1,0.09090909090909091,1,0,0,0,1,16.271577617410696,206.08877683713524,0.31142169391834856,0.7124056591649379
E39,pass,0,0.0,0,0,0,0,0,17.640153580793967,320.0601442896452,0.3474932403111921,0.6783241127179626
E40,pass,0,0.0,0,0,0,0,0,18.889570563008437,313.07234141848653,0.20826409441270716,0.6299964373097806
E41,pass,0,0.0,0,0,0,0,0,12.05467926199653,160.7549499810953,0.20303574192585394,0.6559968455466338
E42,pass,0,0.0,0,0,0,0,0,8.994695798391827,112.90259177754027,0.3144154076376652,0.7472570970217624
E43,pass,0,0.0,0,0,0,0,0,17.27954456862301,205.57455347680423,0.2586720571123956,0.6495559522701013
E44,pass,0,0.0,0,0,0,0,0,15.739647661312693,213.0455890435613,0.34794441734582293,0.6767394358440156
E45,pass,1,0.09090909090909091,1,0,1,0,0,17.744886918975,342.981740001052,0.3096795361981042,0.6856839554596502
E46,pass,0,0.0,0,0,0,0,0,16.424749393745547,278.1621535743178,0.23120842457489524,0.699278741482223
E47,pass,0,0.0,0,0,0,0,0,11.353915604388522,122.18378822433317,0.27506199980993473,0.7617629638678631
E48,review,2,0.18181818181818182,3,1,0,1,1,18.684666725502375,244.23891459217595,0.3090402378681352,0.6497319990187364
E49,pass,0,0.0,0,0,0,0,0,14.981570938585497,172.41346115813622,0.39770393576596985,0.6656800292683751
E50,bad,10,0.9090909090909091,3,8,6,0,7,166.10151989370155,1384.6131616035777,0.03232135278915719,0.06482482827714045
E51,pass,1,0.09090909090909091,1,0,1,0,0,10.734296736876829,116.15659084881452,0.40962958368808783,0.7525799014793177
E52,pass,0,0.0,0,0,0,0,0,9.980320841540452,122.56303518230243,0.3488967514189477,0.8121088446364779
E53,pass,1,0.09090909090909091,1,0,0,1,0,8.26015150305975,103.53205899842939,0.28400545804381144,0.8340895451017776
E54,pass,1,0.09090909090909091,1,0,0,1,0,7.0063796769880335,83.14454660082018,0.23111853741780206,0.6822238562895959
E55,review,4,0.36363636363636365,1,0,0,0,4,3.375978071581568,36.84564739373044,0.20713696803772774,0.24740020796060935
E56,review,4,0.36363636363636365,3,2,2,0,2,42.62694602278209,562.0552623500978,0.1402207019991765,0.3450392006874866
E57,pass,0,0.0,0,0,0,0,0,14.764479274409839,175.16448709416878,0.38225151233628296,0.6468667196099258
E58,pass,0,0.0,0,0,0,0,0,12.513440284249773,130.94085638406744,0.3824732864616131,0.7694374874271245
E59,pass,0,0.0,0,0,0,0,0,10.871565767769624,119.47229905673154,0.3707527092166421,0.8435534875917
E60,pass,0,0.0,0,0,0,0,0,9.413322215995443,116.2296615506833,0.3232422842905925,0.8953309201956483
E61,pass,0,0.0,0,0,0,0,0,7.949290432935696,88.35286852143099,0.3247408073121767,0.849645010660606
E62,pass,0,0.0,0,0,0,0,0,9.133611212080833,95.43935022808095,0.32915213742215166,0.8871551370585434
E63,pass,1,0.09090909090909091,1,1,0,0,0,27.915777118953006,269.20037229224454,0.2542055112707457,0.7081154303265016
E64,pass,0,0.0,0,0,0,0,0,15.826413070366172,171.23814119954085,0.3881403889703027,0.7030454821092356
E65,pass,0,0.0,0,0,0,0,0,12.445558891268494,125.08453801814676,0.4001335662284508,0.8340248128325161
E66,pass,1,0.09090909090909091,1,0,0,1,0,11.381984877485367,109.34532714436088,0.34695968059840765,0.9015239564723228
E67,pass,0,0.0,0,0,0,0,0,10.09765301666156,109.70489258058934,0.3328884333716594,0.8879877966639714
E68,pass,0,0.0,0,0,0,0,0,22.79634346485677,296.88637426596745,0.21928992394031385,0.6694072168662533
E69,pass,0,0.0,0,0,0,0,0,15.74703055369664,166.93831973928332,0.40317702784856707,0.7319379922822642
E70,pass,0,0.0,0,0,0,0,0,12.461782807153066,142.45607575512304,0.28885597768902244,0.7376546633406831
E71,pass,2,0.18181818181818182,1,0,0,2,0,12.021965421153192,119.8780986876109,0.28864675864781664,0.9125434724531747
E72,pass,1,0.09090909090909091,1,0,0,1,0,11.388356535578692,109.75503424947418,0.28463419612416124,0.9105013963239572
E73,pass,0,0.0,0,0,0,0,0,20.068873502421866,218.59977262247853,0.32679425166168935,0.6423941176539323
E74,review,1,0.09090909090909091,2,0,0,1,1,13.604578660312628,152.73965033698252,0.3997489967839271,0.7326306047571362
E75,pass,1,0.09090909090909091,1,0,0,0,1,12.516588733760027,133.82578654181634,0.339066687547265,0.8457744399846141
E76,pass,2,0.18181818181818182,1,0,0,2,0,11.872953409125529,121.88975552856732,0.2750901270729433,0.9264779941271897
E77,pass,2,0.18181818181818182,1,0,0,2,0,10.879268179419038,108.91271460475554,0.28898420384931256,0.8888188309300324
E78,pass,0,0.0,0,0,0,0,0,7.623745029194437,81.94514623096563,0.3130769755821375,0.8240856858061099
E79,pass,1,0.09090909090909091,1,0,0,1,0,6.605323427581712,82.18740978666014,0.29629560266402477,0.7748013178904994
E80,pass,0,0.0,0,0,0,0,0,4.898008331503924,53.40486790515547,0.2787412542053893,0.6583013516797167
E81,pass,0,0.0,0,0,0,0,0,17.78331893968577,194.99957805818732,0.3546596450553122,0.6910580630446904
E82,pass,0,0.0,0,0,0,0,0,13.788851848727612,132.5028687028551,0.3958664508781925,0.7870684527245039
E83,pass,2,0.18181818181818182,1,0,0,2,0,13.233826354659367,128.92999508534854,0.28669465310781883,0.8919629126351183
E84,pass,2,0.18181818181818182,1,0,0,2,0,12.26040930402324,124.75561521779414,0.29086368537806656,0.9269366960098129
E85,pass,0,0.0,0,0,0,0,0,9.901537983844484,103.35210446391464,0.2995351686206395,0.8640337072966157
E86,pass,1,0.09090909090909091,1,0,0,1,0,8.338271795508046,82.42143817969362,0.3430968785068294,0.8643344535324342
E87,pass,0,0.0,0,0,0,0,0,5.760269712621897,62.91482539010314,0.28598544397378023,0.7754585898426595
E88,pass,0,0.0,0,0,0,0,0,15.960265285739196,194.27141556024384,0.3970735042638807,0.7509998056445155
E89,pass,0,0.0,0,0,0,0,0,13.514388133494382,142.54955291694884,0.43070002728749107,0.8636892315288185
