configuration,channel,median_trial_std_uv,median_trial_peak_to_peak_uv,median_channel_correlation,line_noise_ratio_50hz,median_edge_to_middle_rms_ratio,suspect,suspect_reasons
raw,E1,152.71100375945537,692.275673387303,0.6834673216325522,13502.795748272876,1.0374472510892536,False,
raw,E2,169.8112677305372,743.4588504409294,0.7639552061182847,23351.28822708495,1.047678259066839,False,
raw,E3,159.0705582286256,710.9087282445726,0.7159197924322276,23818.698495517598,1.0264271889436514,False,
raw,E4,159.81680061094764,699.7128336515798,0.8152389692849056,38793.5032897674,1.0073386833745381,False,
raw,E5,163.21624292313422,595.7225143315718,0.869442408407241,55899.522922434786,1.0099285586756084,False,
raw,E6,137.9576930115743,547.8514169391124,0.8456230161066278,59916.31782418191,1.0071494732137214,False,
raw,E7,84.94732553601753,295.55718922470965,0.5349320666149903,41556.16063095586,1.0054629608819006,True,variance_outlier
raw,E8,197.08589559161257,1181.7447685004909,0.4958625757272334,17562.109346760622,1.0164991185035694,False,
raw,E9,152.29004670049673,743.5151236867459,0.6975469321278511,28624.87624093111,1.0265797368889433,False,
raw,E10,151.46763070598226,605.6676557684932,0.8532071233541043,36513.32346584293,1.0318685256664761,False,
raw,E11,158.59924263524627,661.7057396743894,0.8204333140245306,50395.495614469226,1.0060629169139965,False,
raw,E12,163.99578233560354,611.6453531187058,0.8577968493164192,55304.892389910136,1.005416219454859,False,
raw,E13,127.8547218813593,418.8151548297501,0.7914356043004395,41692.24161319574,1.006582647329471,False,
raw,E14,170.75140283048773,972.1800645604108,0.715509440771948,23785.300409416443,0.9999770163063111,False,
raw,E15,173.14055554805384,786.9313562968782,0.7522640117274845,34340.48967606371,1.0072804835385507,False,
raw,E16,161.75446627792525,654.2142544636845,0.7952003339555048,38266.414372198014,1.0190329876232804,False,
raw,E17,169.83709694995153,814.8688287479563,0.7922588522452867,21083.004831326387,1.0140525304995798,False,
raw,E18,173.88208063743917,691.3193091172852,0.7524939699248673,38356.12313246765,1.021250681060006,False,
raw,E19,158.21998970082012,564.306696545129,0.8768977332879111,44476.55178926494,1.012323502862552,False,
raw,E20,153.62840073861673,516.0902233839497,0.7676756772136484,35349.41981287043,1.0063054732719832,False,
raw,E21,190.4470204013736,877.6337189332262,0.7037153370883275,22606.279225139468,1.0145585540103461,False,
raw,E22,162.93114764040723,734.8674426485395,0.8016781347365016,27500.27638559522,1.0139023769070774,False,
raw,E23,117.38385986560758,490.7766917515255,0.6717980813417146,15583.391128532197,1.0388864167853245,False,
raw,E24,159.65895591407764,579.8048588547736,0.6648827955919102,24041.46673783663,1.0085676094931881,False,
raw,E25,190.8330179453585,1058.9963057254117,0.5875545832725857,18556.799735138557,1.0194889508684988,False,
raw,E26,185.7566082569037,936.310578590721,0.7706786720074713,18946.678382992457,1.0356185117531274,False,
raw,E27,168.46760831517793,663.2441612989714,0.4949872024460187,13560.517143319787,1.0122030260334829,False,
raw,E28,180.86191561166484,762.1117244282377,0.5750343065024686,14226.068673556229,1.0114966675251924,False,
raw,E29,148.35668463500417,563.0270064598308,0.7662517925642003,30478.17819853328,1.0049480889455358,False,
raw,E30,135.5196833515663,490.4538371806949,0.8029732032591742,31750.432084590608,1.0037485337959386,False,
raw,E31,88.04936407318122,302.11943675230395,0.5853794847007561,36232.79963743847,1.020479163295064,True,variance_outlier
raw,E32,169.60817200599706,794.3280834494999,0.7401114071808443,9202.956666753595,1.0446751000979957,False,
raw,E33,162.24186356627578,710.9929641066647,0.8474503333170469,10331.768159300944,1.016924891945122,False,
raw,E34,174.52338759782234,806.8132392140033,0.5997955236012693,6074.570051174822,1.0092623339840088,False,
raw,E35,164.5041321886081,767.4571274768825,0.7964948662629406,17870.263510105015,0.9946348101146344,False,
