trial,channel,correlation,nrmse,delta_relative_error,theta_relative_error,alpha_relative_error,beta_relative_error,gamma_relative_error
1,E5,0.8352846377964588,0.5689296928793207,0.4863891233764921,0.3228742100399987,0.016464341241595636,0.10039850518752938,0.07781272774695998
1,E18,0.9263918553788147,0.3926204464276739,0.16424576116094766,0.05085151149835507,0.1275079242395469,0.26658958906486613,0.23671172533328183
1,E28,0.829494157613057,0.560724748034589,0.37314841625784584,0.38217696665784384,0.34192273248315613,0.39805639635259804,0.47171555443445684
1,E41,0.8215761344765764,0.5761747797161804,0.11167905578973795,0.13577061443003208,0.13410530853638206,0.17766142136759397,0.2929025881578569
1,E65,0.7724542101789648,0.7960085412862551,0.7569266161346784,0.39133848251352377,0.2015605057816146,0.5850123837285641,0.9615051977625351
1,E83,0.949750684316351,0.32348247807983227,0.043028006793954875,0.0009859221386804497,0.16275165053763857,0.021752881855571216,0.1967289935194845
1,E96,0.9354456473918843,0.35367128954655697,0.15542010885468122,0.14264214754537854,0.11681373791103009,0.16124047823697038,0.27440555938723454
1,E116,0.711029808738696,0.7186486916987385,0.24798541545544048,0.21360337781511643,0.24127445927750743,0.3352910095422952,0.5305361935617324
2,E5,0.8958709036048141,0.45136906882712996,0.4489182273125481,0.46435079745692803,0.06579975450156746,0.061676798370769496,0.03829530990219799
2,E18,0.7717360037060267,0.6921464835532737,0.21451410972491186,0.06351122705498731,0.2019054505485967,0.33425248216065795,0.308750748285663
2,E28,0.9446204849852023,0.49149570845917023,0.5392829406771009,0.45484668249342275,0.3270165930744988,0.2541987906743471,0.15574988894553138
2,E41,0.635834441413621,1.1558339310936576,0.1691425251612043,0.1501578354302482,0.11363352560195975,0.0683221189392663,0.07669612481476959
2,E65,0.5463479149132792,1.0803430495887973,0.7967686828814202,0.6734251379735723,0.17358684863491322,1.078852568464613,1.6937004508460594
2,E83,0.8168870175635266,0.5882562211260658,0.01864059849477051,0.0026340443552797426,0.22078010018288013,0.030886659282913842,0.3192305973970984
2,E96,0.7172347319185389,0.7185300612697822,0.553457439135501,0.15517195082765758,0.08897187840506018,0.27124255618500387,0.4985476213481442
2,E116,0.9402666714414214,0.34216166663222114,0.20094441537685112,0.36118336815618984,0.24059999773771612,0.3433047385907932,0.4317532121173916
3,E5,0.6967131729820912,0.8367064863433091,0.279540609257236,0.3807802034689365,0.13392581406149473,0.04481675400089882,0.09644017388111338
3,E18,0.9135223146907566,0.4218697431762554,0.10927681446401588,0.022480724770838498,0.14031496839028224,0.2681390543486875,0.10514452830072733
3,E28,0.5447556147311616,1.0300081942388075,0.21924818108344135,0.365750114913491,0.2891699730264764,0.2679305956906335,0.3841510684726858
3,E41,0.5108132329307284,1.3354592574292738,0.8908219393257899,0.032794848021062015,0.11119539174204672,0.03401265480285582,0.029548663734318536
3,E65,0.6599125168333737,1.155104288629127,1.0421235329967462,0.9758030513928817,0.3691329119316462,1.1540461448445027,0.62421240660074
3,E83,0.9633726468708695,0.2682506953115483,0.034976866799307615,0.011976735733467081,0.12634745187136595,0.11649904539421792,0.8267597954784297
3,E96,0.6102752764927782,0.8868825011013494,0.16395466371228723,0.03915995416933597,0.04172662703466317,0.4591716332817026,0.8161812937654032
3,E116,0.6144332734461944,1.0540051790835618,1.4824386353361676,1.3703796486320619,0.7848149429984068,0.4372282222382391,0.34440746946504136
4,E5,0.9452643501573138,0.4362039329735426,0.3506812883737764,0.06194495654272692,0.14335697598385222,0.3032683105927054,0.8875199885182861
4,E18,0.9807039442195478,0.2486745994355781,0.17717556464036527,0.05775616425022049,0.13040194824835202,0.16585173495966704,0.11001692531214273
4,E28,0.9432526347333557,0.3981180625398239,0.3891307658307547,0.40270902686720506,0.2701579828212251,0.46597794966663425,0.620977273539236
4,E41,0.7559890449233998,0.698902814059555,0.018733904657529703,0.04474435555886738,0.11628696909511864,0.1863879755014857,0.3273722103056433
4,E65,0.7135330450835927,1.0716518917674835,1.7073378036157363,2.558237995959807,0.6323760988154529,1.7018833081122526,1.5869210044528597
4,E83,0.8724427062729625,0.5118501521659707,0.029755925436096203,0.03148283393686864,0.12654533724647113,0.0218859407011909,0.2983327613419975
4,E96,0.8050788255130704,0.6664313087152555,0.5520266087928314,0.3266960581302941,0.10462837278956488,0.1157290731608555,0.346878129937587
4,E116,0.6115557703926486,1.1458030632424956,8.609884822471692,6.634559097921298,3.8345136474791177,0.8152217209960936,0.6969209419225022
5,E5,0.25179050062443925,4.574587505618738,42.49040136189085,5.709300753043496,1.392927564073029,1.0994989010916438,0.4533081923579442
5,E18,0.8782947851227209,0.48696750306419845,1.008852968845694,0.14090504378495824,0.11491822570071888,0.3267068627140005,0.4720494718357982
