trial,state,channel,std_uv,peak_to_peak_uv,median_correlation_to_others,common_mode_rms_uv
1,filtered,E50,93.28858814397212,741.1320482614385,0.0672606714924573,5.297113124965844
1,filtered,E103,7.372805845453211,79.3461059786739,0.4338638880404764,5.297113124965844
1,interpolated,E50,9.951311820954881,108.1916426010001,0.49523587937752933,5.252393372614479
1,interpolated,E103,6.995096659148043,67.99117700446327,0.394901353893253,5.252393372614479
1,average_referenced,E50,9.951311820954881,108.1916426010001,0.10646310815105511,0.1154993129480411
1,average_referenced,E103,6.995096659148043,67.99117700446327,0.06486245095978273,0.1154993129480411
2,filtered,E50,137.245365521478,1259.169697366147,0.015077401650137953,7.854513600187694
2,filtered,E103,8.28206915879964,96.07877404989966,0.21938129553890426,7.854513600187694
2,interpolated,E50,18.408336301348545,243.75470190013274,0.16437639616572958,7.894843042603106
2,interpolated,E103,14.395168585338148,215.3513781702497,0.14680662954895093,7.894843042603106
2,average_referenced,E50,18.408336301348545,243.75470190013274,-0.07996552224162591,0.20689045371830087
2,average_referenced,E103,14.395168585338148,215.3513781702497,-0.19362937741587566,0.20689045371830087
3,filtered,E50,159.60949276102957,1384.6131616035748,0.09171981785196331,10.343677153628326
3,filtered,E103,187.72746913200066,2578.460930607287,0.06365845698145285,10.343677153628326
3,interpolated,E50,34.032336761548436,664.7239574771891,0.35941836080290573,10.043181029333445
3,interpolated,E103,10.218778176402793,170.20433634397926,0.4075079732467795,10.043181029333445
3,average_referenced,E50,34.032336761548436,664.7239574771891,-0.1991473615583686,0.3086718449935304
3,average_referenced,E103,10.218778176402793,170.20433634397926,0.03519609752439972,0.3086718449935304
4,filtered,E50,166.1015198937016,1201.311334903413,0.1691996452346315,12.426656128637456
4,filtered,E103,326.9355341532512,5333.250527045662,-0.02940016245066911,12.426656128637456
4,interpolated,E50,27.449984894725482,564.8376775686845,0.6516382489780462,12.186238355653055
4,interpolated,E103,10.19287068395085,148.16328618563932,0.5247195169859821,12.186238355653055
4,average_referenced,E50,27.449984894725482,564.8376775686845,-0.011875548338846888,0.27373014059778134
4,average_referenced,E103,10.19287068395085,148.16328618563932,-0.013338523187914583,0.27373014059778134
5,filtered,E50,128.69012294533715,1080.3686980582265,0.17385389056906655,44.71219494089998
