configuration,median_std_uv,median_peak_to_peak_uv,median_channel_correlation,median_line_noise_ratio_50hz,median_edge_to_middle_rms_ratio,suspect_channels_count,delta_1_4_power_uv2,delta_1_4_retained_vs_raw,theta_4_8_power_uv2,theta_4_8_retained_vs_raw,alpha_8_13_power_uv2,alpha_8_13_retained_vs_raw,beta_13_30_power_uv2,beta_13_30_retained_vs_raw,gamma_30_45_power_uv2,gamma_30_45_retained_vs_raw
raw,165.43577677790148,695.9942535194414,0.7669637348889243,21849.51408168194,1.0124093480975727,23,35.42884565503539,1.0,10.426679681014857,1.0,16.693018921002015,1.0,10.674370563843038,1.0,4.778833589127394,1.0
bandpass_0p5_45,95.76951521756445,400.9034589734437,0.9578081986522511,18011.847390823677,0.9999879025455358,27,35.357133707355814,0.9979758881116867,10.411619905244878,0.99855564990671,16.6458304948341,0.9971731640399362,10.657349796173946,0.9984054546760119,4.773381241882085,0.9988590631702025
notch50_bandpass_0p5_45,13.885435283904215,161.5414168773144,0.21129840737018507,0.8930541058667492,1.0555820390337005,2,35.36178712512525,0.9981072335643368,10.412952823722762,0.998683487197071,16.647878688672435,0.9972958616686891,10.658813234483368,0.9985425529995776,4.77398082285006,0.998984529135232
bandpass_0p5_40,13.743443332178678,157.77718632957482,0.20508376822742772,4.714988738757954,1.0626420647753956,2,35.33011034826161,0.9972131379121085,10.412504663602363,0.9986405051419864,16.6505770065949,0.9974575051638074,10.648769374687966,0.997601620723025,4.3460581230729245,0.9094391009891823
