strategy,trial,max_abs_ecg_channel_correlation,median_abs_ecg_channel_correlation,median_std_uv,median_peak_to_peak_uv,relative_rms_change,delta_retained,theta_retained,alpha_retained,beta_retained,gamma_retained
no_ica_removal,6.0,0.24818839556752983,0.033769450633879455,11.588073430986675,175.89315710849803,0.0,1.0,1.0,1.0,1.0,1.0
remove_ecg_ic11,6.0,0.13374276267839508,0.017894117615490826,11.429635267492051,176.649746660037,0.1070909609084612,0.9850530787488319,0.9233786883608522,0.9338408746589325,0.9273041273055318,0.9713178017767413
remove_all_candidates,6.0,0.12878210205035698,0.016923721009754537,11.199135365762439,154.72563580744307,0.16325227343039056,0.9643579321406557,0.9080913047421576,0.9087697535671161,0.8623188381876752,0.7824159977387263
