strategy,components,median_max_aux_correlation,median_relative_rms_change,median_delta_retention,median_theta_retention,median_alpha_retention,median_beta_retention,median_gamma_retention
no_removal,,0.08561209566970863,2.2344474321085525e-15,0.9999999999999992,0.9999999999999991,0.9999999999999993,0.9999999999999994,0.9999999999999992
physiological_only,,0.08561209566970863,2.2344474321085525e-15,0.9999999999999992,0.9999999999999991,0.9999999999999993,0.9999999999999994,0.9999999999999992
all_candidates,8;10;12;15,0.08417459815638205,0.18305959450186826,0.9976512246010049,0.9927618060865813,0.9873919246694286,0.9749696175684476,0.9454780134134814
