subject,trial,window_index,start_seconds,end_seconds,samples,status,issues,max_abs_uv,max_peak_to_peak_uv,over_200uv_fraction,flat_channels,variance_outlier_channels,source_path
sub-mit117,1,1,0.0,4.0,1000,reject,extreme_amplitude;variance_outliers;amplitude_warning,1119.6929903371094,2161.9426214947443,0.00259375,0,8,data/processed/sub-mit117/trials/sub-mit117_trial-01_eeg.fif
sub-mit117,1,2,2.0,6.0,1000,review,variance_outliers;amplitude_warning,546.6110215691585,1070.3110324539743,0.0009765625,0,7,data/processed/sub-mit117/trials/sub-mit117_trial-01_eeg.fif
sub-mit117,1,3,4.0,8.0,1000,review,amplitude_warning,389.74560448473693,448.8898952594842,0.00134375,0,0,data/processed/sub-mit117/trials/sub-mit117_trial-01_eeg.fif
sub-mit117,1,4,6.0,10.0,1000,review,amplitude_warning,389.74560448473693,448.8898952594842,0.00134375,0,0,data/processed/sub-mit117/trials/sub-mit117_trial-01_eeg.fif
sub-mit117,1,5,8.0,12.0,1000,reject,extreme_amplitude;variance_outliers;amplitude_warning,1540.522701188679,2716.8294609141026,0.005109375,0,13,data/processed/sub-mit117/trials/sub-mit117_trial-01_eeg.fif
sub-mit117,1,6,10.0,14.0,1000,reject,extreme_amplitude;variance_outliers;amplitude_warning,1540.522701188679,2716.8294609141026,0.0059296875,0,14,data/processed/sub-mit117/trials/sub-mit117_trial-01_eeg.fif
sub-mit117,1,7,12.0,16.0,1000,review,amplitude_warning,562.0530381317337,1105.367672990465,0.0018671875,0,0,data/processed/sub-mit117/trials/sub-mit117_trial-01_eeg.fif
sub-mit117,1,8,14.0,18.0,1000,review,amplitude_warning,380.00677394291887,521.2691332054063,0.001109375,0,0,data/processed/sub-mit117/trials/sub-mit117_trial-01_eeg.fif
sub-mit117,1,9,16.0,20.0,1000,pass,,309.4148246582558,521.2691332054063,0.0001015625,0,3,data/processed/sub-mit117/trials/sub-mit117_trial-01_eeg.fif
sub-mit117,1,10,18.0,22.0,1000,review,amplitude_warning,355.7475882131518,483.1415393075286,0.00103125,0,0,data/processed/sub-mit117/trials/sub-mit117_trial-01_eeg.fif
sub-mit117,1,11,20.0,24.0,1000,review,amplitude_warning,386.7816152344078,683.7996503731813,0.002890625,0,0,data/processed/sub-mit117/trials/sub-mit117_trial-01_eeg.fif
sub-mit117,1,12,22.0,26.0,1000,review,amplitude_warning,386.7816152344078,683.7996503731813,0.001921875,0,0,data/processed/sub-mit117/trials/sub-mit117_trial-01_eeg.fif
sub-mit117,1,13,24.0,28.0,1000,review,amplitude_warning,445.5926502421742,502.79143778697016,0.00140625,0,0,data/processed/sub-mit117/trials/sub-mit117_trial-01_eeg.fif
sub-mit117,1,14,26.0,30.0,1000,review,amplitude_warning,445.5926502421742,514.745344769729,0.0013984375,0,0,data/processed/sub-mit117/trials/sub-mit117_trial-01_eeg.fif
sub-mit117,1,15,28.0,32.0,1000,review,amplitude_warning,411.52670184185433,482.63698456026736,0.001484375,0,0,data/processed/sub-mit117/trials/sub-mit117_trial-01_eeg.fif
sub-mit117,1,16,30.0,34.0,1000,review,amplitude_warning,411.52670184185433,482.63698456026736,0.00146875,0,0,data/processed/sub-mit117/trials/sub-mit117_trial-01_eeg.fif
sub-mit117,1,17,32.0,36.0,1000,pass,,338.4725638427046,654.8446333564418,0.000265625,0,5,data/processed/sub-mit117/trials/sub-mit117_trial-01_eeg.fif
sub-mit117,1,18,34.0,38.0,1000,review,amplitude_warning,380.0662221849563,654.8446333564418,0.0012734375,0,0,data/processed/sub-mit117/trials/sub-mit117_trial-01_eeg.fif
sub-mit117,1,19,36.0,40.0,1000,review,amplitude_warning,543.8673692323356,1042.1554539117792,0.0025,0,1,data/processed/sub-mit117/trials/sub-mit117_trial-01_eeg.fif
sub-mit117,1,20,38.0,42.0,1000,review,amplitude_warning,543.8673692323356,1042.1554539117792,0.0025625,0,0,data/processed/sub-mit117/trials/sub-mit117_trial-01_eeg.fif
