subject,trial,stimulus,status,issues,samples,duration_seconds,channels,max_abs_uv,extreme_over_200uv_fraction,flat_channels,variance_outlier_channels,residual_50hz_ratio,max_abs_ecg_correlation,interpolated_channels,ica_removed,output_path
sub-mit117,1,neutral_1.mp4,reject,extreme_amplitude;residual_line_noise;amplitude_warning,15124,60.496,128,1540.5226617609526,0.0018146860949484263,0,0,5.195763709526618,0.2034161204544313,E55;E125;E126,,data/processed/sub-mit117/trials/sub-mit117_trial-01_eeg.fif
sub-mit117,2,13.m4v,reject,extreme_amplitude;residual_line_noise;amplitude_warning,15124,60.496,128,1276.6085686559911,0.0022795928656440096,0,1,6.768129273736994,0.1361678064720652,E55;E125;E126,,data/processed/sub-mit117/trials/sub-mit117_trial-02_eeg.fif
sub-mit117,3,16.mp4,review,amplitude_warning,15125,60.5,128,564.5493718651915,0.0013362603305785124,0,0,1.4790000358029074,0.27568705368452207,E55;E125;E126,,data/processed/sub-mit117/trials/sub-mit117_trial-03_eeg.fif
sub-mit117,4,27.mp4,review,amplitude_warning,15125,60.5,128,642.9374506389464,0.0038336776859504134,0,0,3.4897188239570216,0.1733570088068254,E55;E125;E126,,data/processed/sub-mit117/trials/sub-mit117_trial-04_eeg.fif
sub-mit117,5,15.mp4,reject,extreme_amplitude;amplitude_warning,15125,60.5,128,1556.0953454989565,0.002240702479338843,0,0,2.2927105211373107,0.27493188889877107,E55;E125;E126,,data/processed/sub-mit117/trials/sub-mit117_trial-05_eeg.fif
sub-mit117,6,5.mp4,review,residual_ecg;amplitude_warning,15124,60.496,128,534.2205112557232,0.0020109800647976728,0,0,3.0911670165776033,0.35935266746636196,E55;E125;E126,,data/processed/sub-mit117/trials/sub-mit117_trial-06_eeg.fif
sub-mit117,7,neutral_2.mp4,review,amplitude_warning,15124,60.496,128,559.9470574246722,0.002090014215815922,0,0,2.9982315459834217,0.150565856232692,E55;E125;E126,,data/processed/sub-mit117/trials/sub-mit117_trial-07_eeg.fif
sub-mit117,8,1.mp4,reject,extreme_amplitude;amplitude_warning,15129,60.516,128,1228.0503301729998,0.002675428812214951,0,0,4.990024341925128,0.09561955153668714,E55;E125;E126,,data/processed/sub-mit117/trials/sub-mit117_trial-08_eeg.fif
sub-mit117,9,3.mp4,reject,extreme_amplitude;amplitude_warning,15125,60.5,128,1074.1688370593072,0.003464876033057851,0,0,2.4036319495737173,0.13374758623818236,E55;E125;E126,,data/processed/sub-mit117/trials/sub-mit117_trial-09_eeg.fif
sub-mit117,10,12.m4v,review,amplitude_warning,15124,60.496,128,993.0755086491722,0.0030239602618354934,0,0,1.5491869170351482,0.16262890118698778,E55;E125;E126,,data/processed/sub-mit117/trials/sub-mit117_trial-10_eeg.fif
sub-mit117,11,24.mp4,reject,extreme_amplitude;amplitude_warning,15125,60.5,128,1096.2593880945647,0.002630681818181818,0,0,1.902789141579415,0.15897869889318808,E55;E125;E126,,data/processed/sub-mit117/trials/sub-mit117_trial-11_eeg.fif
