strategy,components,median_max_aux_correlation,median_relative_rms_change,median_delta_retention,median_theta_retention,median_alpha_retention,median_beta_retention,median_gamma_retention
no_removal,,0.16262890118698783,2.1739933755997384e-15,1.0000000000000018,1.0000000000000013,0.9999999999999998,1.0,0.9999999999999989
physiological_only,,0.16262890118698783,2.1739933755997384e-15,1.0000000000000018,1.0000000000000013,0.9999999999999998,1.0,0.9999999999999989
all_candidates,2;9;16;18;26;33;36;43;44,0.16449922970631295,0.24235260645611995,0.969014875728249,0.9108304969063528,0.8937986103435618,0.8230287769222197,0.7696910462049572
