subject,trial,window_index,start_seconds,end_seconds,samples,status,issues,max_abs_uv,max_peak_to_peak_uv,over_200uv_fraction,flat_channels,variance_outlier_channels,source_path
sub-mit123,1,1,0.0,4.0,1000,pass,,192.8188471694292,246.81103071841477,0.0,0,0,data/processed/sub-mit123/trials/sub-mit123_trial-01_eeg.fif
sub-mit123,1,2,2.0,6.0,1000,pass,,205.4784998474276,260.5480836012125,0.0001015625,0,0,data/processed/sub-mit123/trials/sub-mit123_trial-01_eeg.fif
sub-mit123,1,3,4.0,8.0,1000,pass,,205.4784998474276,260.5480836012125,0.0001015625,0,0,data/processed/sub-mit123/trials/sub-mit123_trial-01_eeg.fif
sub-mit123,1,4,6.0,10.0,1000,pass,,175.86141923372696,226.3296960838459,0.0,0,0,data/processed/sub-mit123/trials/sub-mit123_trial-01_eeg.fif
sub-mit123,1,5,8.0,12.0,1000,pass,,175.86141923372696,223.2705377663742,0.0,0,0,data/processed/sub-mit123/trials/sub-mit123_trial-01_eeg.fif
sub-mit123,1,6,10.0,14.0,1000,pass,,168.16578631858627,212.65709251118815,0.0,0,0,data/processed/sub-mit123/trials/sub-mit123_trial-01_eeg.fif
sub-mit123,1,7,12.0,16.0,1000,pass,,420.9272755485889,577.9210343074913,0.000515625,0,2,data/processed/sub-mit123/trials/sub-mit123_trial-01_eeg.fif
sub-mit123,1,8,14.0,18.0,1000,review,amplitude_warning,508.74404778781036,917.3035255160625,0.003859375,0,1,data/processed/sub-mit123/trials/sub-mit123_trial-01_eeg.fif
sub-mit123,1,9,16.0,20.0,1000,review,amplitude_warning,508.74404778781036,917.3035255160625,0.00334375,0,1,data/processed/sub-mit123/trials/sub-mit123_trial-01_eeg.fif
sub-mit123,1,10,18.0,22.0,1000,pass,,211.0032495893383,268.8905327683823,5.46875e-05,0,0,data/processed/sub-mit123/trials/sub-mit123_trial-01_eeg.fif
sub-mit123,1,11,20.0,24.0,1000,review,variance_outliers,234.6252435482532,293.338679526725,0.0004453125,0,7,data/processed/sub-mit123/trials/sub-mit123_trial-01_eeg.fif
sub-mit123,1,12,22.0,26.0,1000,review,variance_outliers,234.6252435482532,293.338679526725,0.0005234375,0,6,data/processed/sub-mit123/trials/sub-mit123_trial-01_eeg.fif
sub-mit123,1,13,24.0,28.0,1000,pass,,218.2275842878955,263.7484620111011,0.0002109375,0,0,data/processed/sub-mit123/trials/sub-mit123_trial-01_eeg.fif
sub-mit123,1,14,26.0,30.0,1000,pass,,211.50805610661848,253.12996228205088,7.8125e-05,0,0,data/processed/sub-mit123/trials/sub-mit123_trial-01_eeg.fif
sub-mit123,1,15,28.0,32.0,1000,pass,,188.3430171026046,218.49912206797165,0.0,0,0,data/processed/sub-mit123/trials/sub-mit123_trial-01_eeg.fif
sub-mit123,1,16,30.0,34.0,1000,pass,,196.05343578430953,238.9361108469396,0.0,0,2,data/processed/sub-mit123/trials/sub-mit123_trial-01_eeg.fif
sub-mit123,1,17,32.0,36.0,1000,review,variance_outliers,213.6150507302051,257.9414971514947,0.0001171875,0,9,data/processed/sub-mit123/trials/sub-mit123_trial-01_eeg.fif
sub-mit123,1,18,34.0,38.0,1000,pass,,213.6150507302051,248.33102735764356,0.0001171875,0,0,data/processed/sub-mit123/trials/sub-mit123_trial-01_eeg.fif
sub-mit123,1,19,36.0,40.0,1000,pass,,58.59370407569793,100.76214955639104,0.0,0,0,data/processed/sub-mit123/trials/sub-mit123_trial-01_eeg.fif
sub-mit123,1,20,38.0,42.0,1000,review,variance_outliers,197.13565013704596,237.80090271992293,0.0,0,7,data/processed/sub-mit123/trials/sub-mit123_trial-01_eeg.fif
sub-mit123,1,21,40.0,44.0,1000,pass,,197.13565013704596,251.65534909607663,0.0,0,0,data/processed/sub-mit123/trials/sub-mit123_trial-01_eeg.fif
sub-mit123,1,22,42.0,46.0,1000,pass,,200.4047541326985,254.9244530917292,7.8125e-06,0,1,data/processed/sub-mit123/trials/sub-mit123_trial-01_eeg.fif
sub-mit123,1,23,44.0,48.0,1000,review,variance_outliers,200.4047541326985,235.86227357442687,7.8125e-06,0,8,data/processed/sub-mit123/trials/sub-mit123_trial-01_eeg.fif
sub-mit123,1,24,46.0,50.0,1000,pass,,193.82023571670564,231.70474184664238,0.0,0,0,data/processed/sub-mit123/trials/sub-mit123_trial-01_eeg.fif
sub-mit123,1,25,48.0,52.0,1000,pass,,193.82023571670564,231.70474184664238,0.0,0,0,data/processed/sub-mit123/trials/sub-mit123_trial-01_eeg.fif
sub-mit123,1,26,50.0,54.0,1000,pass,,50.06246172663178,90.18980384944108,0.0,0,0,data/processed/sub-mit123/trials/sub-mit123_trial-01_eeg.fif
sub-mit123,1,27,52.0,56.0,1000,review,variance_outliers,213.79405158424535,259.4338334209203,7.03125e-05,0,7,data/processed/sub-mit123/trials/sub-mit123_trial-01_eeg.fif
sub-mit123,1,28,54.0,58.0,1000,pass,,213.79405158424535,256.5581658561592,7.03125e-05,0,0,data/processed/sub-mit123/trials/sub-mit123_trial-01_eeg.fif
sub-mit123,1,29,56.0,60.0,1000,pass,,196.8583826816913,248.7346833624838,0.0,0,0,data/processed/sub-mit123/trials/sub-mit123_trial-01_eeg.fif
sub-mit123,2,1,0.0,4.0,1000,pass,,148.07949791715083,180.6276011674943,0.0,0,0,data/processed/sub-mit123/trials/sub-mit123_trial-02_eeg.fif
sub-mit123,2,2,2.0,6.0,1000,pass,,185.1385493372576,215.27818243987326,0.0,0,0,data/processed/sub-mit123/trials/sub-mit123_trial-02_eeg.fif
sub-mit123,2,3,4.0,8.0,1000,pass,,185.1385493372576,212.80866378460917,0.0,0,0,data/processed/sub-mit123/trials/sub-mit123_trial-02_eeg.fif
sub-mit123,2,4,6.0,10.0,1000,pass,,49.721191280716056,94.13302970008108,0.0,0,3,data/processed/sub-mit123/trials/sub-mit123_trial-02_eeg.fif
sub-mit123,2,5,8.0,12.0,1000,pass,,168.86447100920506,209.50029320275206,0.0,0,0,data/processed/sub-mit123/trials/sub-mit123_trial-02_eeg.fif
sub-mit123,2,6,10.0,14.0,1000,pass,,172.64202837271452,213.27785056626152,0.0,0,0,data/processed/sub-mit123/trials/sub-mit123_trial-02_eeg.fif
