channel,decision,flagged_trials,trial_fraction,independent_metrics,variance_trials,peak_to_peak_trials,global_correlation_trials,neighbor_correlation_trials,median_std_uv,median_peak_to_peak_uv,median_global_correlation,median_neighbor_correlation
E1,bad,7,0.6363636363636364,4,5,3,1,6,22.944620595476028,241.95472618925487,0.19769072412797342,0.6954223304623999
E2,review,4,0.36363636363636365,4,4,3,2,1,25.57573015401881,285.683158728859,-0.03361332992280607,0.8518576064488478
E3,review,3,0.2727272727272727,3,1,1,2,0,18.705076739186673,206.9885464134023,0.012006638513672422,0.9487578066616447
E4,pass,1,0.09090909090909091,1,0,0,1,0,15.971660987381295,160.45391332877216,0.03671172788969749,0.9401730271172679
E5,pass,0,0.0,0,0,0,0,0,10.855400295086648,109.14446470506395,0.08535205954127884,0.8829880164561166
E6,pass,0,0.0,0,0,0,0,0,8.375127582220173,78.81123583047804,0.1154164056992091,0.7982384345760056
E7,review,5,0.45454545454545453,1,0,0,0,5,4.560390532436458,43.15376623143891,0.20994597764765632,0.6643457231260577
E8,bad,11,1.0,4,11,9,5,1,62.29633341455786,801.5410753164313,-0.1427522540551127,0.9290576763062947
E9,bad,8,0.7272727272727273,3,8,7,4,0,38.62328817971116,431.3085675948514,-0.10915231504749834,0.9717737476108674
E10,review,4,0.36363636363636365,3,4,3,3,0,25.044377024896736,277.1822858979522,-0.11059862496675166,0.9721344325882302
E11,review,4,0.36363636363636365,3,1,1,3,0,17.849886201027807,200.12037964904044,-0.03263960367665422,0.9472407917277856
E12,pass,0,0.0,0,0,0,0,0,10.455876450576417,110.4762954885997,0.11624013045051836,0.9050076198253455
E13,pass,0,0.0,0,0,0,0,0,7.048690606094129,64.96208505944166,0.24881479004806678,0.8916862651640027
E14,bad,11,1.0,3,11,8,5,0,51.20923555468222,636.0429793819612,-0.11797626158489352,0.9639887335658769
E15,bad,7,0.6363636363636364,3,7,4,4,0,35.940006557875215,395.48320795382807,-0.10597842694575792,0.9759544383947293
E16,review,4,0.36363636363636365,3,4,3,3,0,25.31689754111701,288.01534852176815,-0.07669158783091876,0.9757110386272931
E17,bad,11,1.0,4,11,9,5,1,54.64712805801761,613.9052957202515,-0.15143602207265847,0.8266875257392906
E18,review,4,0.36363636363636365,3,1,3,3,0,20.012348828592753,237.510825377733,-0.05390983985072429,0.9739588403655952
E19,pass,0,0.0,0,0,0,0,0,11.747155686539164,134.36925002283516,0.12720005436143303,0.9585787882362556
E20,pass,0,0.0,0,0,0,0,0,9.199470883417904,94.61262796610458,0.15243748253284245,0.9542294933797721
E21,bad,11,1.0,3,11,9,6,0,62.755373953690466,754.9599646249163,-0.16161741415486522,0.94039953076149
E22,bad,6,0.5454545454545454,3,5,3,4,0,30.34825347004713,357.43891521049534,-0.1002713198046669,0.962935247168089
E23,pass,1,0.09090909090909091,1,0,0,1,0,17.013402012564804,207.97245846921265,0.02044470526143414,0.9554656109487187
E24,pass,0,0.0,0,0,0,0,0,11.346124520852829,129.91803846565665,0.15819332861200602,0.9701483758291758
E25,bad,11,1.0,4,11,9,6,1,60.977448450514146,770.1384011895053,-0.16849101921188253,0.9137672997450218
E26,review,3,0.2727272727272727,4,2,3,2,1,22.906781309398703,292.8092884887526,-0.025529872651063837,0.8944916381403076
E27,pass,0,0.0,0,0,0,0,0,10.720771747384452,124.25578771870076,0.16666224446730676,0.9187851399071216
E28,pass,0,0.0,0,0,0,0,0,8.277170202828586,84.26691705767449,0.32309929929590014,0.9455910861894483
E29,pass,0,0.0,0,0,0,0,0,6.727085330212473,63.15857171942527,0.3778627322270029,0.897418173260905
E30,pass,0,0.0,0,0,0,0,0,4.845018059546456,44.034920253835,0.4211254498439597,0.8011828374195089
E31,review,8,0.7272727272727273,1,0,0,0,8,4.470341924906815,40.92074502128709,0.47570475933744977,0.4755725244926686
E32,review,5,0.45454545454545453,2,0,2,0,4,17.587977881767337,214.63413620718418,0.27665138475667633,0.7279308922109158
E33,pass,1,0.09090909090909091,1,0,0,0,1,11.905591479114632,125.96722344385091,0.35754731179002947,0.8446988179463626
E34,pass,0,0.0,0,0,0,0,0,8.82878975945331,83.79711967813115,0.36320271150774486,0.9159454615387704
E35,pass,0,0.0,0,0,0,0,0,6.832250102155076,60.53534830248778,0.48429254761028634,0.9004692242223856
E36,pass,0,0.0,0,0,0,0,0,5.869741952488625,47.76712128212927,0.526606449044214,0.8689550719512872
E37,pass,2,0.18181818181818182,1,0,0,0,2,5.0373323381257915,41.20304028197722,0.4800140072448656,0.8671303185052148
E38,pass,0,0.0,0,0,0,0,0,13.366770426073714,138.228318001609,0.45230290287051095,0.8877561180972038
E39,pass,2,0.18181818181818182,1,0,0,0,2,11.0250986434444,119.09081748296714,0.42161667667943986,0.7730733583758547
E40,pass,0,0.0,0,0,0,0,0,6.621604744006053,51.9167300755649,0.5523220101219858,0.8963498597806517
