subject,trial,stimulus,status,issues,samples,duration_seconds,channels,max_abs_uv,extreme_over_200uv_fraction,flat_channels,variance_outlier_channels,residual_50hz_ratio,max_abs_ecg_correlation,interpolated_channels,ica_removed,output_path
sub-mit123,1,neutral_1.mp4,review,variance_outliers;amplitude_warning,15125,60.5,128,508.744054820881,0.0003181818181818182,0,7,2.1158762122898036,0.267645076521749,E1;E8;E9;E14;E15;E17;E21;E22;E25;E127,,data/processed/sub-mit123/trials/sub-mit123_trial-01_eeg.fif
sub-mit123,2,9.m4v,pass,,15124,60.496,128,215.49230022761208,7.74844617825972e-06,0,0,2.503581231747058,0.2814548716863123,E1;E8;E9;E14;E15;E17;E21;E22;E25;E127,,data/processed/sub-mit123/trials/sub-mit123_trial-02_eeg.fif
sub-mit123,3,3.mp4,review,variance_outliers;amplitude_warning,15125,60.5,128,637.9773824061352,0.000991219008264463,0,10,1.9599674329321721,0.22496137943371028,E1;E8;E9;E14;E15;E17;E21;E22;E25;E127,,data/processed/sub-mit123/trials/sub-mit123_trial-03_eeg.fif
sub-mit123,4,24.mp4,pass,,15124,60.496,128,194.036650860464,0.0,0,0,1.9201763596640884,0.17627536747846012,E1;E8;E9;E14;E15;E17;E21;E22;E25;E127,,data/processed/sub-mit123/trials/sub-mit123_trial-04_eeg.fif
sub-mit123,5,15.mp4,pass,,15125,60.5,128,240.24433561319515,7.592975206611571e-05,0,2,2.2890122317323245,0.17720070886070213,E1;E8;E9;E14;E15;E17;E21;E22;E25;E127,,data/processed/sub-mit123/trials/sub-mit123_trial-05_eeg.fif
sub-mit123,6,neutral_2.mp4,reject,extreme_amplitude;residual_line_noise;residual_ecg;amplitude_warning,15125,60.5,128,1151.6720360030845,0.0015087809917355372,0,0,21.608541010889237,0.5783654940388698,E1;E8;E9;E14;E15;E17;E21;E22;E25;E127,,data/processed/sub-mit123/trials/sub-mit123_trial-06_eeg.fif
sub-mit123,7,4.mp4,review,amplitude_warning,15124,60.496,128,578.1719109709202,0.0007624471039407564,0,1,0.6810044932915487,0.08531860060574081,E1;E8;E9;E14;E15;E17;E21;E22;E25;E127,,data/processed/sub-mit123/trials/sub-mit123_trial-07_eeg.fif
sub-mit123,8,17.mp4,review,variance_outliers;amplitude_warning,15125,60.5,128,604.4089983963104,0.0020878099173553717,0,8,0.7000059310628172,0.1328818629593953,E1;E8;E9;E14;E15;E17;E21;E22;E25;E127,,data/processed/sub-mit123/trials/sub-mit123_trial-08_eeg.fif
sub-mit123,9,1.mp4,pass,,15124,60.496,128,323.00816768634206,0.0001399885942872256,0,0,0.9219336093382597,7.611901798533847e-17,E1;E8;E9;E14;E15;E17;E21;E22;E25;E127,,data/processed/sub-mit123/trials/sub-mit123_trial-09_eeg.fif
sub-mit123,10,5.mp4,pass,,15124,60.496,128,210.69782816905834,1.549689235651944e-05,0,0,0.9520939615184297,1.1590186882648722e-16,E1;E8;E9;E14;E15;E17;E21;E22;E25;E127,,data/processed/sub-mit123/trials/sub-mit123_trial-10_eeg.fif
sub-mit123,11,2.m4v,pass,,15125,60.5,128,239.78660945763195,3.409090909090909e-05,0,0,1.0776138619356586,0.05078974568583497,E1;E8;E9;E14;E15;E17;E21;E22;E25;E127,,data/processed/sub-mit123/trials/sub-mit123_trial-11_eeg.fif
