trial,strategy,components,max_aux_correlation,relative_rms_change,delta_retention,theta_retention,alpha_retention,beta_retention,gamma_retention
1,no_removal,,0.2783633408545013,1.4069461884007092e-15,0.9999999999999991,1.0000000000000004,1.0000000000000013,0.9999999999999982,1.0000000000000002
1,physiological_only,,0.2783633408545013,1.4069461884007092e-15,0.9999999999999991,1.0000000000000004,1.0000000000000013,0.9999999999999982,1.0000000000000002
1,all_candidates,14,0.2783286135613348,0.039342523346344194,1.0007095212629038,1.0010995001091578,1.0045203769854534,1.003609226901115,1.0063723192928193
2,no_removal,,0.28383038032996605,1.5968366128346127e-15,1.0000000000000002,0.9999999999999993,1.0000000000000018,0.9999999999999986,0.9999999999999976
2,physiological_only,,0.28383038032996605,1.5968366128346127e-15,1.0000000000000002,0.9999999999999993,1.0000000000000018,0.9999999999999986,0.9999999999999976
2,all_candidates,14,0.2838168431464328,0.052237088151809066,1.0004836007677183,0.9999690429495569,1.0048944005003237,1.002480548098926,0.9953166468045931
3,no_removal,,0.22496137943371025,1.272965820890253e-15,1.0000000000000024,0.9999999999999991,1.0000000000000004,0.999999999999999,1.000000000000003
3,physiological_only,,0.22496137943371025,1.272965820890253e-15,1.0000000000000024,0.9999999999999991,1.0000000000000004,0.999999999999999,1.000000000000003
3,all_candidates,14,0.2249527975710783,0.08982027185463726,0.999043719945965,1.0039773878227534,1.0080489599351647,1.0050919398154134,0.9958356027685757
4,no_removal,,0.17627536747846015,1.6059109688449107e-15,1.000000000000001,0.9999999999999951,1.000000000000001,1.0000000000000004,0.9999999999999971
4,physiological_only,,0.17627536747846015,1.6059109688449107e-15,1.000000000000001,0.9999999999999951,1.000000000000001,1.0000000000000004,0.9999999999999971
4,all_candidates,14,0.17629164351700408,0.04952004985934236,0.9993827588152192,1.002137504137973,1.0044004994145546,0.9979837180477441,0.9987692415894232
5,no_removal,,0.17720070886070213,1.419656301832458e-15,0.9999999999999986,0.9999999999999973,0.9999999999999998,0.999999999999999,0.9999999999999992
5,physiological_only,,0.17720070886070213,1.419656301832458e-15,0.9999999999999986,0.9999999999999973,0.9999999999999998,0.999999999999999,0.9999999999999992
5,all_candidates,14,0.1771962550869067,0.07740974705491675,1.000583281711399,1.0001202777583675,1.005866699215219,1.0011717262523339,0.9941316896311083
6,no_removal,,0.57836549403887,1.8206464004690685e-15,0.9999999999999998,0.9999999999999996,0.9999999999999977,1.0000000000000007,0.9999999999999989
6,physiological_only,,0.57836549403887,1.8206464004690685e-15,0.9999999999999998,0.9999999999999996,0.9999999999999977,1.0000000000000007,0.9999999999999989
6,all_candidates,14,0.5783981920993148,0.025028854289034744,0.9986603766532849,0.9989973724647915,0.9995712639808381,0.9970809443430252,0.9885938075722016
7,no_removal,,0.08531860060574081,1.2778874031695725e-15,0.9999999999999981,0.9999999999999986,0.9999999999999994,1.0000000000000004,1.0000000000000002
7,physiological_only,,0.08531860060574081,1.2778874031695725e-15,0.9999999999999981,0.9999999999999986,0.9999999999999994,1.0000000000000004,1.0000000000000002
7,all_candidates,14,0.08620561736331142,0.0808694797621025,1.000553670117906,1.0005286587633144,0.9995215557461865,0.9971483725615361,0.9968854685725334
8,no_removal,,0.1328818629593953,1.4320476422542541e-15,0.9999999999999983,0.9999999999999977,0.9999999999999996,0.9999999999999978,0.9999999999999991
8,physiological_only,,0.1328818629593953,1.4320476422542541e-15,0.9999999999999983,0.9999999999999977,0.9999999999999996,0.9999999999999978,0.9999999999999991
8,all_candidates,14,0.13251859193477336,0.16249911483497959,0.9921575949995625,0.9973111441305832,0.998646792817076,0.9917783170401953,0.9595806608882921
9,no_removal,,8.879108727171343e-17,1.5509794875703188e-15,0.9999999999999992,0.9999999999999983,0.9999999999999984,1.000000000000001,0.9999999999999996
9,physiological_only,,8.879108727171343e-17,1.5509794875703188e-15,0.9999999999999992,0.9999999999999983,0.9999999999999984,1.000000000000001,0.9999999999999996
9,all_candidates,14,9.720296866187423e-17,0.03833889625479404,1.0002036959686424,1.0007260175918755,0.9992991705258158,1.0006225794154804,1.0010269973609303
10,no_removal,,1.111692649548608e-16,1.6744781412789178e-15,0.9999999999999969,1.0000000000000016,1.0000000000000009,1.0000000000000009,0.9999999999999996
10,physiological_only,,1.111692649548608e-16,1.6744781412789178e-15,0.9999999999999969,1.0000000000000016,1.0000000000000009,1.0000000000000009,0.9999999999999996
10,all_candidates,14,7.679874402553733e-17,0.04684837513806254,0.9991177036764776,1.0009234566797707,1.000987888912059,1.0003950884785453,1.0002036794331677
11,no_removal,,0.0730442898734635,1.70810473482303e-15,0.9999999999999998,0.999999999999996,1.0000000000000013,1.0000000000000002,0.9999999999999998
11,physiological_only,,0.0730442898734635,1.70810473482303e-15,0.9999999999999998,0.999999999999996,1.0000000000000013,1.0000000000000002,0.9999999999999998
11,all_candidates,14,0.07298369657756137,0.056370682649817296,1.0027056893466946,1.0006224742053071,1.0005380436538498,1.0005009021929274,1.0074853236975994
